qnt,batch_index,c0_p,c1_p,c2_p,c3_p,c0_p_normalized,c1_p_normalized,c2_p_normalized,c3_p_normalized,c0_real,c1_real,c2_real,c3_real
CC,0,0.36,1.0,0.94,0.92,0.11,0.31,0.29,0.29,0.43,0.33,0.08,0.16
PCC,0,0.4,0.89,0.82,0.88,0.13,0.3,0.28,0.29,0.43,0.33,0.08,0.16
ACC,0,0.94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
PACC,0,0.45,0.97,0.76,0.82,0.15,0.32,0.25,0.27,0.43,0.33,0.08,0.16
T50,0,0.74,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MAX,0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MS,0,0.94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MS2,0,0.93,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
X,0,0.86,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
SMM,0,0.45,0.97,0.76,0.82,0.15,0.32,0.25,0.27,0.43,0.33,0.08,0.16
DyS,0,0.44,0.91,0.78,0.83,0.15,0.31,0.26,0.28,0.43,0.33,0.08,0.16
DySyn,0,0.34,1.0,1.0,0.97,0.1,0.3,0.3,0.29,0.43,0.33,0.08,0.16
HDy,0,0.41,0.96,0.88,0.93,0.13,0.3,0.28,0.29,0.43,0.33,0.08,0.16
ACC_syn,0,0.3,1.0,0.93,0.92,0.09,0.32,0.3,0.29,0.43,0.33,0.08,0.16
PACC_syn,0,0.32,0.89,0.81,0.88,0.11,0.31,0.28,0.3,0.43,0.33,0.08,0.16
X_syn,0,0.0,0.0,0.03,0.49,0.0,0.0,0.06,0.94,0.43,0.33,0.08,0.16
MAX_syn,0,0.0,0.0,0.03,0.49,0.0,0.0,0.06,0.94,0.43,0.33,0.08,0.16
T50_syn,0,0.21,1.0,1.0,1.0,0.06,0.31,0.31,0.31,0.43,0.33,0.08,0.16
MS_syn,0,0.22,1.0,0.93,0.92,0.07,0.33,0.3,0.3,0.43,0.33,0.08,0.16
MS2_syn,0,0.24,1.0,0.88,0.92,0.08,0.33,0.29,0.3,0.43,0.33,0.08,0.16
SMM_syn,0,0.31,0.98,1.0,0.97,0.1,0.3,0.31,0.3,0.43,0.33,0.08,0.16
HDy_syn,0,0.32,1.0,0.99,0.98,0.1,0.3,0.3,0.3,0.43,0.33,0.08,0.16
DyS_cdt,0,0.44,1.0,0.78,0.83,0.14,0.33,0.26,0.27,0.43,0.33,0.08,0.16
ACC_cdt,0,0.94,1.0,0.0,0.0,0.48,0.52,0.0,0.0,0.43,0.33,0.08,0.16
PACC_cdt,0,0.45,0.89,0.76,0.82,0.15,0.31,0.26,0.28,0.43,0.33,0.08,0.16
X_cdt,0,0.86,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MAX_cdt,0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
T50_cdt,0,0.74,1.0,0.0,0.0,0.43,0.57,0.0,0.0,0.43,0.33,0.08,0.16
MS_cdt,0,0.94,1.0,0.0,0.0,0.48,0.52,0.0,0.0,0.43,0.33,0.08,0.16
MS2_cdt,0,0.93,1.0,0.0,0.0,0.48,0.52,0.0,0.0,0.43,0.33,0.08,0.16
SMM_cdt,0,0.45,0.98,0.76,0.82,0.15,0.33,0.25,0.27,0.43,0.33,0.08,0.16
HDy_cdt,0,0.41,1.0,0.88,0.93,0.13,0.31,0.27,0.29,0.43,0.33,0.08,0.16
CC2,0,0.69,0.0,0.19,0.12,0.69,0.0,0.19,0.12,0.43,0.33,0.08,0.16
PWK,0,0.41,0.24,0.16,0.19,0.41,0.24,0.16,0.19,0.43,0.33,0.08,0.16
HDx,0,0.59,1.0,0.83,0.82,0.59,1.0,0.83,0.82,0.43,0.33,0.08,0.16
GAC,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.43,0.33,0.08,0.16
GPAC,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.43,0.33,0.08,0.16
FM,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.43,0.33,0.08,0.16
EMQ,0,0.64,0.06,0.1,0.21,0.64,0.06,0.1,0.21,0.43,0.33,0.08,0.16
KDEyHD,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.43,0.33,0.08,0.16
KDEyCS,0,0.24,0.0,0.3,0.46,0.24,0.0,0.3,0.46,0.43,0.33,0.08,0.16
KDEyML,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.43,0.33,0.08,0.16
CC,1,0.35,1.0,0.96,0.9,0.11,0.31,0.3,0.28,0.43,0.33,0.08,0.16
PCC,1,0.4,0.88,0.83,0.9,0.13,0.29,0.28,0.3,0.43,0.33,0.08,0.16
ACC,1,0.96,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
PACC,1,0.45,0.71,0.79,0.87,0.16,0.25,0.28,0.31,0.43,0.33,0.08,0.16
T50,1,0.88,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MAX,1,0.92,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MS,1,0.91,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MS2,1,0.91,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
X,1,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
SMM,1,0.45,0.71,0.79,0.87,0.16,0.25,0.28,0.31,0.43,0.33,0.08,0.16
DyS,1,0.45,0.63,0.75,0.89,0.17,0.23,0.28,0.33,0.43,0.33,0.08,0.16
DySyn,1,0.35,1.0,1.0,0.98,0.11,0.3,0.3,0.29,0.43,0.33,0.08,0.16
HDy,1,0.41,0.65,0.82,0.96,0.14,0.23,0.29,0.34,0.43,0.33,0.08,0.16
ACC_syn,1,0.28,1.0,0.96,0.9,0.09,0.32,0.3,0.29,0.43,0.33,0.08,0.16
PACC_syn,1,0.34,0.88,0.81,0.9,0.12,0.3,0.28,0.31,0.43,0.33,0.08,0.16
X_syn,1,0.0,0.0,0.0,0.48,0.0,0.0,0.0,1.0,0.43,0.33,0.08,0.16
MAX_syn,1,0.0,0.0,0.0,0.48,0.0,0.0,0.0,1.0,0.43,0.33,0.08,0.16
T50_syn,1,0.22,1.0,1.0,1.0,0.07,0.31,0.31,0.31,0.43,0.33,0.08,0.16
MS_syn,1,0.24,1.0,0.96,0.9,0.08,0.32,0.31,0.29,0.43,0.33,0.08,0.16
MS2_syn,1,0.24,1.0,0.93,0.9,0.08,0.33,0.3,0.29,0.43,0.33,0.08,0.16
SMM_syn,1,0.29,0.97,1.0,0.97,0.09,0.3,0.31,0.3,0.43,0.33,0.08,0.16
HDy_syn,1,0.33,1.0,1.0,0.98,0.1,0.3,0.3,0.3,0.43,0.33,0.08,0.16
DyS_cdt,1,0.45,1.0,0.75,0.89,0.15,0.32,0.24,0.29,0.43,0.33,0.08,0.16
ACC_cdt,1,0.96,1.0,0.0,0.0,0.49,0.51,0.0,0.0,0.43,0.33,0.08,0.16
PACC_cdt,1,0.45,0.88,0.79,0.87,0.15,0.3,0.27,0.29,0.43,0.33,0.08,0.16
X_cdt,1,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MAX_cdt,1,0.92,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
T50_cdt,1,0.88,1.0,0.0,0.0,0.47,0.53,0.0,0.0,0.43,0.33,0.08,0.16
MS_cdt,1,0.91,1.0,0.0,0.0,0.48,0.52,0.0,0.0,0.43,0.33,0.08,0.16
MS2_cdt,1,0.91,1.0,0.0,0.0,0.48,0.52,0.0,0.0,0.43,0.33,0.08,0.16
SMM_cdt,1,0.45,0.97,0.79,0.87,0.15,0.31,0.26,0.28,0.43,0.33,0.08,0.16
HDy_cdt,1,0.41,1.0,0.82,0.96,0.13,0.31,0.26,0.3,0.43,0.33,0.08,0.16
CC2,1,0.74,0.0,0.14,0.12,0.74,0.0,0.14,0.12,0.43,0.33,0.08,0.16
PWK,1,0.4,0.21,0.16,0.23,0.4,0.21,0.16,0.23,0.43,0.33,0.08,0.16
HDx,1,0.45,1.0,0.95,0.76,0.45,1.0,0.95,0.76,0.43,0.33,0.08,0.16
GAC,1,1.0,0.31,0.0,1.0,1.0,0.31,0.0,1.0,0.43,0.33,0.08,0.16
GPAC,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.43,0.33,0.08,0.16
FM,1,0.45,0.0,0.0,0.55,0.45,0.0,0.0,0.55,0.43,0.33,0.08,0.16
EMQ,1,0.48,0.35,0.02,0.14,0.48,0.35,0.02,0.14,0.43,0.33,0.08,0.16
KDEyHD,1,0.38,0.62,0.0,0.0,0.38,0.62,0.0,0.0,0.43,0.33,0.08,0.16
KDEyCS,1,0.31,0.39,0.3,0.0,0.31,0.39,0.3,0.0,0.43,0.33,0.08,0.16
KDEyML,1,0.0,0.81,0.0,0.19,0.0,0.81,0.0,0.19,0.43,0.33,0.08,0.16
CC,2,0.33,1.0,0.97,0.94,0.1,0.31,0.3,0.29,0.43,0.33,0.08,0.16
PCC,2,0.38,0.88,0.84,0.9,0.13,0.29,0.28,0.3,0.43,0.33,0.08,0.16
ACC,2,0.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
PACC,2,0.41,0.54,0.84,0.88,0.15,0.2,0.31,0.33,0.43,0.33,0.08,0.16
T50,2,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MAX,2,0.92,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MS,2,0.97,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MS2,2,0.97,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
X,2,0.88,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
SMM,2,0.41,0.54,0.84,0.88,0.15,0.2,0.31,0.33,0.43,0.33,0.08,0.16
DyS,2,0.4,0.48,0.81,0.9,0.15,0.19,0.31,0.35,0.43,0.33,0.08,0.16
DySyn,2,0.29,1.0,1.0,0.97,0.09,0.31,0.31,0.3,0.43,0.33,0.08,0.16
HDy,2,0.37,0.62,0.9,0.98,0.13,0.22,0.31,0.34,0.43,0.33,0.08,0.16
ACC_syn,2,0.26,1.0,0.97,0.94,0.08,0.32,0.3,0.3,0.43,0.33,0.08,0.16
PACC_syn,2,0.31,0.88,0.82,0.9,0.11,0.3,0.28,0.31,0.43,0.33,0.08,0.16
X_syn,2,0.0,0.0,0.02,0.54,0.0,0.0,0.04,0.96,0.43,0.33,0.08,0.16
MAX_syn,2,0.0,0.0,0.02,0.54,0.0,0.0,0.04,0.96,0.43,0.33,0.08,0.16
T50_syn,2,0.13,1.0,1.0,1.0,0.04,0.32,0.32,0.32,0.43,0.33,0.08,0.16
MS_syn,2,0.26,1.0,0.97,0.94,0.08,0.32,0.31,0.3,0.43,0.33,0.08,0.16
MS2_syn,2,0.24,1.0,0.97,0.94,0.08,0.32,0.31,0.3,0.43,0.33,0.08,0.16
SMM_syn,2,0.28,0.96,1.0,0.99,0.09,0.3,0.31,0.31,0.43,0.33,0.08,0.16
HDy_syn,2,0.27,1.0,1.0,0.98,0.08,0.31,0.31,0.3,0.43,0.33,0.08,0.16
DyS_cdt,2,0.4,1.0,0.81,0.9,0.13,0.32,0.26,0.29,0.43,0.33,0.08,0.16
ACC_cdt,2,0.99,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.43,0.33,0.08,0.16
PACC_cdt,2,0.41,0.88,0.84,0.88,0.14,0.29,0.28,0.29,0.43,0.33,0.08,0.16
X_cdt,2,0.88,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MAX_cdt,2,0.92,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
T50_cdt,2,0.9,1.0,0.0,0.0,0.48,0.52,0.0,0.0,0.43,0.33,0.08,0.16
MS_cdt,2,0.97,1.0,0.0,0.0,0.49,0.51,0.0,0.0,0.43,0.33,0.08,0.16
MS2_cdt,2,0.97,1.0,0.0,0.0,0.49,0.51,0.0,0.0,0.43,0.33,0.08,0.16
SMM_cdt,2,0.41,0.96,0.84,0.88,0.13,0.31,0.27,0.28,0.43,0.33,0.08,0.16
HDy_cdt,2,0.37,1.0,0.9,0.98,0.11,0.31,0.28,0.3,0.43,0.33,0.08,0.16
CC2,2,0.72,0.01,0.18,0.09,0.72,0.01,0.18,0.09,0.43,0.33,0.08,0.16
PWK,2,0.35,0.3,0.13,0.22,0.35,0.3,0.13,0.22,0.43,0.33,0.08,0.16
HDx,2,0.47,1.0,0.97,0.79,0.47,1.0,0.97,0.79,0.43,0.33,0.08,0.16
GAC,2,0.39,0.0,1.0,0.0,0.39,0.0,1.0,0.0,0.43,0.33,0.08,0.16
GPAC,2,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.43,0.33,0.08,0.16
FM,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.43,0.33,0.08,0.16
EMQ,2,0.49,0.37,0.0,0.14,0.49,0.37,0.0,0.14,0.43,0.33,0.08,0.16
KDEyHD,2,0.2,0.8,0.0,0.0,0.2,0.8,0.0,0.0,0.43,0.33,0.08,0.16
KDEyCS,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.08,0.16
KDEyML,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.08,0.16
CC,3,0.4,1.0,0.93,0.9,0.12,0.31,0.29,0.28,0.43,0.33,0.08,0.16
PCC,3,0.41,0.89,0.81,0.87,0.14,0.3,0.27,0.29,0.43,0.33,0.08,0.16
ACC,3,0.87,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
PACC,3,0.48,0.77,0.7,0.8,0.18,0.28,0.25,0.29,0.43,0.33,0.08,0.16
T50,3,0.74,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MAX,3,0.87,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MS,3,0.88,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MS2,3,0.87,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
X,3,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
SMM,3,0.48,0.77,0.7,0.8,0.17,0.28,0.25,0.29,0.43,0.33,0.08,0.16
DyS,3,0.48,0.76,0.69,0.82,0.17,0.28,0.25,0.3,0.43,0.33,0.08,0.16
DySyn,3,0.35,1.0,1.0,0.96,0.11,0.3,0.3,0.29,0.43,0.33,0.08,0.16
HDy,3,0.43,0.82,0.75,0.93,0.15,0.28,0.26,0.32,0.43,0.33,0.08,0.16
ACC_syn,3,0.33,1.0,0.92,0.9,0.1,0.32,0.29,0.29,0.43,0.33,0.08,0.16
PACC_syn,3,0.34,0.89,0.79,0.87,0.12,0.31,0.27,0.3,0.43,0.33,0.08,0.16
X_syn,3,0.0,0.0,0.01,0.48,0.0,0.0,0.02,0.98,0.43,0.33,0.08,0.16
MAX_syn,3,0.0,0.0,0.01,0.48,0.0,0.0,0.02,0.98,0.43,0.33,0.08,0.16
T50_syn,3,0.2,1.0,1.0,1.0,0.06,0.31,0.31,0.31,0.43,0.33,0.08,0.16
MS_syn,3,0.27,1.0,0.92,0.9,0.09,0.32,0.3,0.29,0.43,0.33,0.08,0.16
MS2_syn,3,0.26,1.0,0.89,0.89,0.09,0.33,0.29,0.29,0.43,0.33,0.08,0.16
SMM_syn,3,0.35,0.97,1.0,0.95,0.11,0.3,0.31,0.29,0.43,0.33,0.08,0.16
HDy_syn,3,0.34,1.0,1.0,0.97,0.1,0.3,0.3,0.29,0.43,0.33,0.08,0.16
DyS_cdt,3,0.48,1.0,0.69,0.82,0.16,0.34,0.23,0.27,0.43,0.33,0.08,0.16
ACC_cdt,3,0.87,1.0,0.0,0.0,0.46,0.54,0.0,0.0,0.43,0.33,0.08,0.16
PACC_cdt,3,0.48,0.89,0.7,0.8,0.17,0.31,0.24,0.28,0.43,0.33,0.08,0.16
X_cdt,3,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MAX_cdt,3,0.87,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
T50_cdt,3,0.74,1.0,0.0,0.0,0.43,0.57,0.0,0.0,0.43,0.33,0.08,0.16
MS_cdt,3,0.88,1.0,0.0,0.0,0.47,0.53,0.0,0.0,0.43,0.33,0.08,0.16
MS2_cdt,3,0.87,1.0,0.0,0.0,0.46,0.54,0.0,0.0,0.43,0.33,0.08,0.16
SMM_cdt,3,0.48,0.97,0.7,0.8,0.16,0.33,0.24,0.27,0.43,0.33,0.08,0.16
HDy_cdt,3,0.43,1.0,0.75,0.93,0.14,0.32,0.24,0.3,0.43,0.33,0.08,0.16
CC2,3,0.69,0.01,0.17,0.13,0.69,0.01,0.17,0.13,0.43,0.33,0.08,0.16
PWK,3,0.43,0.22,0.16,0.19,0.43,0.22,0.16,0.19,0.43,0.33,0.08,0.16
HDx,3,0.25,1.0,1.0,0.99,0.25,1.0,1.0,0.99,0.43,0.33,0.08,0.16
GAC,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.43,0.33,0.08,0.16
GPAC,3,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.43,0.33,0.08,0.16
FM,3,0.42,0.0,0.0,0.58,0.42,0.0,0.0,0.58,0.43,0.33,0.08,0.16
EMQ,3,0.53,0.21,0.04,0.21,0.53,0.21,0.04,0.21,0.43,0.33,0.08,0.16
KDEyHD,3,0.23,0.0,0.44,0.33,0.23,0.0,0.44,0.33,0.43,0.33,0.08,0.16
KDEyCS,3,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.43,0.33,0.08,0.16
KDEyML,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.43,0.33,0.08,0.16
CC,4,0.4,1.0,0.9,0.92,0.12,0.31,0.28,0.29,0.43,0.33,0.08,0.16
PCC,4,0.42,0.89,0.8,0.88,0.14,0.3,0.27,0.29,0.43,0.33,0.08,0.16
ACC,4,0.87,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
PACC,4,0.5,0.99,0.64,0.82,0.17,0.34,0.22,0.28,0.43,0.33,0.08,0.16
T50,4,0.74,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MAX,4,0.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MS,4,0.89,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MS2,4,0.86,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
X,4,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
SMM,4,0.5,0.99,0.64,0.82,0.17,0.34,0.22,0.28,0.43,0.33,0.08,0.16
DyS,4,0.48,0.87,0.69,0.81,0.17,0.31,0.24,0.28,0.43,0.33,0.08,0.16
DySyn,4,0.39,1.0,0.99,0.97,0.12,0.3,0.3,0.29,0.43,0.33,0.08,0.16
HDy,4,0.41,0.97,0.78,0.91,0.14,0.31,0.25,0.3,0.43,0.33,0.08,0.16
ACC_syn,4,0.33,1.0,0.89,0.92,0.11,0.32,0.28,0.29,0.43,0.33,0.08,0.16
PACC_syn,4,0.33,0.89,0.78,0.88,0.11,0.31,0.27,0.3,0.43,0.33,0.08,0.16
X_syn,4,0.0,0.01,0.02,0.52,0.0,0.02,0.04,0.95,0.43,0.33,0.08,0.16
MAX_syn,4,0.0,0.01,0.02,0.52,0.0,0.02,0.04,0.95,0.43,0.33,0.08,0.16
T50_syn,4,0.14,1.0,0.98,1.0,0.05,0.32,0.31,0.32,0.43,0.33,0.08,0.16
MS_syn,4,0.27,1.0,0.89,0.92,0.09,0.33,0.29,0.3,0.43,0.33,0.08,0.16
MS2_syn,4,0.28,1.0,0.88,0.92,0.09,0.33,0.29,0.3,0.43,0.33,0.08,0.16
SMM_syn,4,0.35,0.98,1.0,0.97,0.11,0.3,0.3,0.29,0.43,0.33,0.08,0.16
HDy_syn,4,0.34,1.0,0.99,0.98,0.1,0.3,0.3,0.3,0.43,0.33,0.08,0.16
DyS_cdt,4,0.48,1.0,0.69,0.81,0.16,0.34,0.23,0.27,0.43,0.33,0.08,0.16
ACC_cdt,4,0.87,1.0,0.0,0.0,0.46,0.54,0.0,0.0,0.43,0.33,0.08,0.16
PACC_cdt,4,0.5,0.89,0.64,0.82,0.17,0.31,0.22,0.29,0.43,0.33,0.08,0.16
X_cdt,4,0.85,0.01,0.0,0.0,0.99,0.01,0.0,0.0,0.43,0.33,0.08,0.16
MAX_cdt,4,0.82,0.01,0.0,0.0,0.99,0.01,0.0,0.0,0.43,0.33,0.08,0.16
T50_cdt,4,0.74,1.0,0.0,0.0,0.43,0.57,0.0,0.0,0.43,0.33,0.08,0.16
MS_cdt,4,0.89,1.0,0.0,0.0,0.47,0.53,0.0,0.0,0.43,0.33,0.08,0.16
MS2_cdt,4,0.86,1.0,0.0,0.0,0.46,0.54,0.0,0.0,0.43,0.33,0.08,0.16
SMM_cdt,4,0.5,0.98,0.64,0.82,0.17,0.33,0.22,0.28,0.43,0.33,0.08,0.16
HDy_cdt,4,0.41,1.0,0.78,0.91,0.13,0.32,0.25,0.29,0.43,0.33,0.08,0.16
CC2,4,0.68,0.0,0.21,0.11,0.68,0.0,0.21,0.11,0.43,0.33,0.08,0.16
PWK,4,0.45,0.15,0.2,0.2,0.45,0.15,0.2,0.2,0.43,0.33,0.08,0.16
HDx,4,0.17,1.0,1.0,1.0,0.17,1.0,1.0,1.0,0.43,0.33,0.08,0.16
GAC,4,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.43,0.33,0.08,0.16
GPAC,4,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.43,0.33,0.08,0.16
FM,4,0.49,0.0,0.0,0.51,0.49,0.0,0.0,0.51,0.43,0.33,0.08,0.16
EMQ,4,0.59,0.01,0.25,0.16,0.59,0.01,0.25,0.16,0.43,0.33,0.08,0.16
KDEyHD,4,0.0,0.0,0.69,0.31,0.0,0.0,0.69,0.31,0.43,0.33,0.08,0.16
KDEyCS,4,0.33,0.0,0.37,0.3,0.33,0.0,0.37,0.3,0.43,0.33,0.08,0.16
KDEyML,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.43,0.33,0.08,0.16
CC,5,0.46,1.0,0.93,0.92,0.14,0.3,0.28,0.28,0.43,0.33,0.08,0.16
PCC,5,0.45,0.88,0.78,0.88,0.15,0.29,0.26,0.29,0.43,0.33,0.08,0.16
ACC,5,0.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
PACC,5,0.58,0.65,0.54,0.82,0.22,0.25,0.21,0.32,0.43,0.33,0.08,0.16
T50,5,0.79,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MAX,5,0.73,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MS,5,0.79,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
MS2,5,0.79,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
X,5,0.74,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.33,0.08,0.16
SMM,5,0.58,0.65,0.54,0.82,0.22,0.25,0.21,0.32,0.43,0.33,0.08,0.16
DyS,5,0.58,0.67,0.59,0.84,0.22,0.25,0.22,0.31,0.43,0.33,0.08,0.16
DySyn,5,0.46,1.0,1.0,0.98,0.13,0.29,0.29,0.28,0.43,0.33,0.08,0.16
HDy,5,0.57,0.65,0.68,0.92,0.2,0.23,0.24,0.33,0.43,0.33,0.08,0.16
ACC_syn,5,0.4,1.0,0.92,0.92,0.12,0.31,0.28,0.28,0.43,0.33,0.08,0.16
PACC_syn,5,0.4,0.88,0.76,0.88,0.14,0.3,0.26,0.3,0.43,0.33,0.08,0.16
X_syn,5,0.0,0.01,0.0,0.47,0.0,0.02,0.0,0.98,0.43,0.33,0.08,0.16
MAX_syn,5,0.0,0.01,0.0,0.47,0.0,0.02,0.0,0.98,0.43,0.33,0.08,0.16
T50_syn,5,0.29,1.0,0.98,1.0,0.09,0.31,0.3,0.31,0.43,0.33,0.08,0.16
MS_syn,5,0.35,1.0,0.92,0.92,0.11,0.31,0.29,0.29,0.43,0.33,0.08,0.16
MS2_syn,5,0.34,1.0,0.84,0.92,0.11,0.32,0.27,0.3,0.43,0.33,0.08,0.16
SMM_syn,5,0.42,0.97,1.0,0.97,0.13,0.29,0.3,0.29,0.43,0.33,0.08,0.16
HDy_syn,5,0.45,1.0,0.99,0.98,0.13,0.29,0.29,0.29,0.43,0.33,0.08,0.16
DyS_cdt,5,0.58,1.0,0.59,0.84,0.19,0.33,0.2,0.28,0.43,0.33,0.08,0.16
ACC_cdt,5,0.76,1.0,0.0,0.0,0.43,0.57,0.0,0.0,0.43,0.33,0.08,0.16
PACC_cdt,5,0.58,0.88,0.54,0.82,0.21,0.31,0.19,0.29,0.43,0.33,0.08,0.16
X_cdt,5,0.74,0.01,0.0,0.0,0.99,0.01,0.0,0.0,0.43,0.33,0.08,0.16
MAX_cdt,5,0.73,0.01,0.0,0.0,0.99,0.01,0.0,0.0,0.43,0.33,0.08,0.16
T50_cdt,5,0.79,1.0,0.0,0.0,0.44,0.56,0.0,0.0,0.43,0.33,0.08,0.16
MS_cdt,5,0.79,1.0,0.0,0.0,0.44,0.56,0.0,0.0,0.43,0.33,0.08,0.16
MS2_cdt,5,0.79,1.0,0.0,0.0,0.44,0.56,0.0,0.0,0.43,0.33,0.08,0.16
SMM_cdt,5,0.58,0.97,0.54,0.82,0.2,0.33,0.19,0.28,0.43,0.33,0.08,0.16
HDy_cdt,5,0.57,1.0,0.68,0.92,0.18,0.32,0.21,0.29,0.43,0.33,0.08,0.16
CC2,5,0.63,0.01,0.27,0.09,0.63,0.01,0.27,0.09,0.43,0.33,0.08,0.16
PWK,5,0.4,0.2,0.18,0.22,0.4,0.2,0.18,0.22,0.43,0.33,0.08,0.16
HDx,5,0.24,1.0,1.0,0.92,0.24,1.0,1.0,0.92,0.43,0.33,0.08,0.16
GAC,5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.43,0.33,0.08,0.16
GPAC,5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.43,0.33,0.08,0.16
FM,5,0.56,0.0,0.0,0.44,0.56,0.0,0.0,0.44,0.43,0.33,0.08,0.16
EMQ,5,0.47,0.04,0.41,0.08,0.47,0.04,0.41,0.08,0.43,0.33,0.08,0.16
KDEyHD,5,0.0,0.0,0.49,0.51,0.0,0.0,0.49,0.51,0.43,0.33,0.08,0.16
