qnt,c2_p,c4_p,c5_p,c2_p_normalized,c4_p_normalized,c5_p_normalized,c2_real,c4_real,c5_real
CC,0.62,0.73,0.82,0.29,0.34,0.38,0.43,0.33,0.24
PCC,0.62,0.62,0.78,0.31,0.31,0.39,0.43,0.33,0.24
ACC,0.29,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
PACC,0.61,0.59,0.81,0.3,0.29,0.4,0.43,0.33,0.24
T50,0.09,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MAX,0.35,0.0,0.02,0.94,0.0,0.06,0.43,0.33,0.24
MS,0.23,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MS2,0.23,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
X,0.32,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
SMM,0.61,0.59,0.81,0.3,0.29,0.4,0.43,0.33,0.24
DyS,0.63,0.49,0.81,0.33,0.25,0.42,0.43,0.33,0.24
DySyn,0.64,1.0,0.94,0.25,0.39,0.36,0.43,0.33,0.24
HDy,0.67,0.6,0.87,0.31,0.28,0.41,0.43,0.33,0.24
ACC_syn,0.58,0.55,0.8,0.3,0.28,0.42,0.43,0.33,0.24
PACC_syn,0.58,0.49,0.75,0.32,0.27,0.41,0.43,0.33,0.24
X_syn,0.17,0.0,0.25,0.4,0.0,0.6,0.43,0.33,0.24
MAX_syn,0.17,0.0,0.25,0.4,0.0,0.6,0.43,0.33,0.24
T50_syn,0.6,0.96,0.9,0.24,0.39,0.37,0.43,0.33,0.24
MS_syn,0.62,0.64,0.75,0.31,0.32,0.37,0.43,0.33,0.24
MS2_syn,0.55,0.53,0.78,0.3,0.29,0.42,0.43,0.33,0.24
SMM_syn,0.64,1.0,1.0,0.24,0.38,0.38,0.43,0.33,0.24
HDy_syn,0.66,1.0,0.91,0.26,0.39,0.35,0.43,0.33,0.24
CC2,0.38,0.43,0.19,0.38,0.43,0.19,0.43,0.33,0.24
PWK,0.43,0.34,0.23,0.43,0.34,0.23,0.43,0.33,0.24
HDx,0.66,0.4,0.08,0.66,0.4,0.08,0.43,0.33,0.24
GAC,0.0,0.0,1.0,0.0,0.0,1.0,0.43,0.33,0.24
GPAC,0.0,0.0,1.0,0.0,0.0,1.0,0.43,0.33,0.24
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
EMQ,0.36,0.49,0.15,0.36,0.49,0.15,0.43,0.33,0.24
KDEyHD,0.0,0.0,1.0,0.0,0.0,1.0,0.43,0.33,0.24
KDEyCS,0.0,0.19,0.81,0.0,0.19,0.81,0.43,0.33,0.24
KDEyML,0.0,0.0,1.0,0.0,0.0,1.0,0.43,0.33,0.24
CC,0.55,0.81,0.77,0.26,0.38,0.36,0.43,0.33,0.24
PCC,0.58,0.64,0.76,0.29,0.32,0.38,0.43,0.33,0.24
ACC,0.39,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
PACC,0.55,0.75,0.77,0.27,0.36,0.37,0.43,0.33,0.24
T50,0.23,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MAX,0.33,0.0,0.02,0.94,0.0,0.06,0.43,0.33,0.24
MS,0.31,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MS2,0.32,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
X,0.39,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
SMM,0.55,0.75,0.77,0.27,0.36,0.37,0.43,0.33,0.24
DyS,0.56,0.76,0.79,0.26,0.36,0.38,0.43,0.33,0.24
DySyn,0.59,1.0,0.85,0.24,0.41,0.35,0.43,0.33,0.24
HDy,0.56,0.82,0.85,0.25,0.37,0.38,0.43,0.33,0.24
ACC_syn,0.5,0.74,0.74,0.25,0.37,0.37,0.43,0.33,0.24
PACC_syn,0.54,0.49,0.72,0.31,0.28,0.41,0.43,0.33,0.24
X_syn,0.21,0.0,0.27,0.44,0.0,0.56,0.43,0.33,0.24
MAX_syn,0.21,0.0,0.27,0.44,0.0,0.56,0.43,0.33,0.24
T50_syn,0.49,0.98,0.9,0.21,0.41,0.38,0.43,0.33,0.24
MS_syn,0.47,0.74,0.7,0.25,0.39,0.37,0.43,0.33,0.24
MS2_syn,0.5,0.68,0.73,0.26,0.36,0.38,0.43,0.33,0.24
SMM_syn,0.65,0.88,0.98,0.26,0.35,0.39,0.43,0.33,0.24
HDy_syn,0.53,1.0,0.87,0.22,0.42,0.36,0.43,0.33,0.24
CC2,0.46,0.3,0.24,0.46,0.3,0.24,0.43,0.33,0.24
PWK,0.39,0.36,0.25,0.39,0.36,0.25,0.43,0.33,0.24
HDx,0.82,0.09,0.04,0.82,0.09,0.04,0.43,0.33,0.24
GAC,1.0,1.0,0.0,1.0,1.0,0.0,0.43,0.33,0.24
GPAC,1.0,1.0,0.0,1.0,1.0,0.0,0.43,0.33,0.24
FM,0.0,0.0,1.0,0.0,0.0,1.0,0.43,0.33,0.24
EMQ,0.47,0.25,0.27,0.47,0.25,0.27,0.43,0.33,0.24
KDEyHD,0.33,0.33,0.33,0.33,0.33,0.33,0.43,0.33,0.24
KDEyCS,0.0,0.87,0.13,0.0,0.87,0.13,0.43,0.33,0.24
KDEyML,0.0,0.58,0.42,0.0,0.58,0.42,0.43,0.33,0.24
CC,0.51,0.81,0.75,0.25,0.39,0.36,0.43,0.33,0.24
PCC,0.56,0.64,0.75,0.29,0.33,0.38,0.43,0.33,0.24
ACC,0.45,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
PACC,0.52,0.8,0.76,0.25,0.39,0.36,0.43,0.33,0.24
T50,0.19,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MAX,0.41,0.0,0.04,0.92,0.0,0.08,0.43,0.33,0.24
MS,0.33,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MS2,0.34,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
X,0.46,0.0,0.01,0.97,0.0,0.03,0.43,0.33,0.24
SMM,0.52,0.8,0.76,0.25,0.38,0.37,0.43,0.33,0.24
DyS,0.52,0.76,0.75,0.26,0.37,0.37,0.43,0.33,0.24
DySyn,0.53,1.0,0.83,0.22,0.42,0.35,0.43,0.33,0.24
HDy,0.51,0.83,0.84,0.23,0.38,0.38,0.43,0.33,0.24
ACC_syn,0.45,0.74,0.72,0.24,0.39,0.38,0.43,0.33,0.24
PACC_syn,0.56,0.52,0.72,0.31,0.29,0.4,0.43,0.33,0.24
X_syn,0.18,0.0,0.28,0.39,0.0,0.61,0.43,0.33,0.24
MAX_syn,0.18,0.0,0.28,0.39,0.0,0.61,0.43,0.33,0.24
T50_syn,0.49,0.98,0.82,0.21,0.43,0.36,0.43,0.33,0.24
MS_syn,0.51,0.76,0.73,0.26,0.38,0.36,0.43,0.33,0.24
MS2_syn,0.49,0.66,0.73,0.26,0.35,0.39,0.43,0.33,0.24
SMM_syn,0.58,1.0,1.0,0.22,0.39,0.39,0.43,0.33,0.24
HDy_syn,0.46,1.0,0.85,0.2,0.43,0.37,0.43,0.33,0.24
CC2,0.51,0.23,0.26,0.51,0.23,0.26,0.43,0.33,0.24
PWK,0.46,0.26,0.28,0.46,0.26,0.28,0.43,0.33,0.24
HDx,0.74,0.23,0.09,0.74,0.23,0.09,0.43,0.33,0.24
GAC,1.0,1.0,0.0,1.0,1.0,0.0,0.43,0.33,0.24
GPAC,1.0,1.0,0.0,1.0,1.0,0.0,0.43,0.33,0.24
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
EMQ,0.52,0.16,0.33,0.52,0.16,0.33,0.43,0.33,0.24
KDEyHD,0.0,0.55,0.45,0.0,0.55,0.45,0.43,0.33,0.24
KDEyCS,0.0,0.67,0.33,0.0,0.67,0.33,0.43,0.33,0.24
KDEyML,0.0,0.54,0.46,0.0,0.54,0.46,0.43,0.33,0.24
CC,0.59,0.81,0.82,0.27,0.36,0.37,0.43,0.33,0.24
PCC,0.59,0.65,0.78,0.29,0.32,0.39,0.43,0.33,0.24
ACC,0.33,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
PACC,0.57,0.89,0.83,0.25,0.39,0.36,0.43,0.33,0.24
T50,0.23,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MAX,0.29,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MS,0.26,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MS2,0.27,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
X,0.37,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
SMM,0.57,0.89,0.83,0.25,0.39,0.36,0.43,0.33,0.24
DyS,0.58,0.83,0.83,0.26,0.37,0.37,0.43,0.33,0.24
DySyn,0.62,1.0,0.94,0.24,0.39,0.37,0.43,0.33,0.24
HDy,0.64,0.85,0.88,0.27,0.36,0.37,0.43,0.33,0.24
ACC_syn,0.53,0.75,0.75,0.26,0.37,0.37,0.43,0.33,0.24
PACC_syn,0.54,0.45,0.77,0.31,0.26,0.44,0.43,0.33,0.24
X_syn,0.15,0.0,0.28,0.35,0.0,0.65,0.43,0.33,0.24
MAX_syn,0.15,0.0,0.28,0.35,0.0,0.65,0.43,0.33,0.24
T50_syn,0.64,1.0,0.96,0.24,0.39,0.37,0.43,0.33,0.24
MS_syn,0.49,0.76,0.81,0.24,0.37,0.39,0.43,0.33,0.24
MS2_syn,0.49,0.7,0.76,0.25,0.36,0.39,0.43,0.33,0.24
SMM_syn,0.67,0.78,1.0,0.27,0.32,0.41,0.43,0.33,0.24
HDy_syn,0.65,1.0,0.98,0.25,0.38,0.37,0.43,0.33,0.24
CC2,0.45,0.31,0.24,0.45,0.31,0.24,0.43,0.33,0.24
PWK,0.45,0.34,0.21,0.45,0.34,0.21,0.43,0.33,0.24
HDx,0.66,0.26,0.12,0.66,0.26,0.12,0.43,0.33,0.24
GAC,1.0,1.0,0.0,1.0,1.0,0.0,0.43,0.33,0.24
GPAC,0.0,0.95,1.0,0.0,0.95,1.0,0.43,0.33,0.24
FM,0.0,0.0,1.0,0.0,0.0,1.0,0.43,0.33,0.24
EMQ,0.42,0.39,0.19,0.42,0.39,0.19,0.43,0.33,0.24
KDEyHD,0.71,0.29,0.0,0.71,0.29,0.0,0.43,0.33,0.24
KDEyCS,0.53,0.47,0.0,0.53,0.47,0.0,0.43,0.33,0.24
KDEyML,0.67,0.33,0.0,0.67,0.33,0.0,0.43,0.33,0.24
CC,0.59,0.81,0.8,0.27,0.37,0.36,0.43,0.33,0.24
PCC,0.6,0.64,0.76,0.3,0.32,0.38,0.43,0.33,0.24
ACC,0.33,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
PACC,0.58,0.77,0.77,0.28,0.36,0.36,0.43,0.33,0.24
T50,0.11,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MAX,0.35,0.0,0.01,0.98,0.0,0.02,0.43,0.33,0.24
MS,0.27,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MS2,0.27,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
X,0.37,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
SMM,0.58,0.77,0.77,0.27,0.36,0.36,0.43,0.33,0.24
DyS,0.59,0.74,0.75,0.28,0.35,0.36,0.43,0.33,0.24
DySyn,0.59,1.0,0.96,0.23,0.39,0.38,0.43,0.33,0.24
HDy,0.64,0.64,0.85,0.3,0.3,0.4,0.43,0.33,0.24
ACC_syn,0.55,0.74,0.74,0.27,0.37,0.37,0.43,0.33,0.24
PACC_syn,0.55,0.51,0.73,0.31,0.28,0.41,0.43,0.33,0.24
X_syn,0.18,0.0,0.22,0.45,0.0,0.55,0.43,0.33,0.24
MAX_syn,0.18,0.0,0.22,0.45,0.0,0.55,0.43,0.33,0.24
T50_syn,0.53,0.98,0.94,0.22,0.4,0.38,0.43,0.33,0.24
MS_syn,0.52,0.74,0.73,0.26,0.37,0.37,0.43,0.33,0.24
MS2_syn,0.53,0.59,0.67,0.3,0.33,0.37,0.43,0.33,0.24
SMM_syn,0.69,0.89,1.0,0.27,0.34,0.39,0.43,0.33,0.24
HDy_syn,0.59,1.0,0.9,0.24,0.4,0.36,0.43,0.33,0.24
CC2,0.43,0.32,0.25,0.43,0.32,0.25,0.43,0.33,0.24
PWK,0.44,0.3,0.26,0.44,0.3,0.26,0.43,0.33,0.24
HDx,0.6,0.23,0.19,0.6,0.23,0.19,0.43,0.33,0.24
GAC,1.0,0.8,0.0,1.0,0.8,0.0,0.43,0.33,0.24
GPAC,1.0,1.0,0.0,1.0,1.0,0.0,0.43,0.33,0.24
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
EMQ,0.43,0.3,0.27,0.43,0.3,0.27,0.43,0.33,0.24
KDEyHD,0.41,0.41,0.17,0.41,0.41,0.17,0.43,0.33,0.24
KDEyCS,0.33,0.33,0.33,0.33,0.33,0.33,0.43,0.33,0.24
KDEyML,0.23,0.61,0.16,0.23,0.61,0.16,0.43,0.33,0.24
CC,0.59,0.71,0.79,0.28,0.34,0.38,0.43,0.33,0.24
PCC,0.59,0.62,0.77,0.3,0.31,0.39,0.43,0.33,0.24
ACC,0.33,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
PACC,0.57,0.62,0.79,0.29,0.31,0.4,0.43,0.33,0.24
T50,0.17,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MAX,0.36,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MS,0.3,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MS2,0.3,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
X,0.37,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
SMM,0.57,0.62,0.79,0.29,0.31,0.4,0.43,0.33,0.24
DyS,0.57,0.53,0.8,0.3,0.28,0.42,0.43,0.33,0.24
DySyn,0.59,1.0,0.92,0.24,0.4,0.37,0.43,0.33,0.24
HDy,0.62,0.61,0.86,0.3,0.29,0.41,0.43,0.33,0.24
ACC_syn,0.54,0.62,0.77,0.28,0.32,0.4,0.43,0.33,0.24
PACC_syn,0.55,0.5,0.74,0.31,0.28,0.41,0.43,0.33,0.24
X_syn,0.18,0.0,0.32,0.36,0.0,0.64,0.43,0.33,0.24
MAX_syn,0.18,0.0,0.32,0.36,0.0,0.64,0.43,0.33,0.24
T50_syn,0.51,0.98,0.92,0.21,0.41,0.38,0.43,0.33,0.24
MS_syn,0.52,0.62,0.77,0.27,0.33,0.4,0.43,0.33,0.24
MS2_syn,0.51,0.53,0.75,0.29,0.29,0.42,0.43,0.33,0.24
SMM_syn,0.66,0.85,0.98,0.27,0.34,0.39,0.43,0.33,0.24
HDy_syn,0.6,1.0,0.89,0.24,0.4,0.36,0.43,0.33,0.24
CC2,0.42,0.38,0.2,0.42,0.38,0.2,0.43,0.33,0.24
PWK,0.45,0.31,0.24,0.45,0.31,0.24,0.43,0.33,0.24
HDx,0.67,0.13,0.13,0.67,0.13,0.13,0.43,0.33,0.24
GAC,0.0,0.6,1.0,0.0,0.6,1.0,0.43,0.33,0.24
GPAC,0.94,1.0,0.0,0.94,1.0,0.0,0.43,0.33,0.24
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
EMQ,0.42,0.36,0.22,0.42,0.36,0.22,0.43,0.33,0.24
KDEyHD,0.0,0.62,0.38,0.0,0.62,0.38,0.43,0.33,0.24
KDEyCS,0.0,0.63,0.37,0.0,0.63,0.37,0.43,0.33,0.24
KDEyML,0.0,1.0,0.0,0.0,1.0,0.0,0.43,0.33,0.24
CC,0.55,0.8,0.83,0.25,0.37,0.38,0.43,0.33,0.24
PCC,0.58,0.64,0.79,0.29,0.32,0.39,0.43,0.33,0.24
ACC,0.39,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
PACC,0.55,0.73,0.85,0.26,0.34,0.4,0.43,0.33,0.24
T50,0.21,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MAX,0.39,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MS,0.27,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MS2,0.27,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
X,0.4,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
SMM,0.55,0.73,0.85,0.26,0.34,0.4,0.43,0.33,0.24
DyS,0.57,0.7,0.86,0.27,0.33,0.4,0.43,0.33,0.24
DySyn,0.58,1.0,0.91,0.23,0.4,0.37,0.43,0.33,0.24
HDy,0.58,0.76,0.91,0.26,0.34,0.4,0.43,0.33,0.24
ACC_syn,0.5,0.74,0.81,0.24,0.36,0.4,0.43,0.33,0.24
PACC_syn,0.53,0.52,0.77,0.29,0.29,0.42,0.43,0.33,0.24
X_syn,0.14,0.0,0.28,0.33,0.0,0.67,0.43,0.33,0.24
MAX_syn,0.14,0.0,0.28,0.33,0.0,0.67,0.43,0.33,0.24
T50_syn,0.6,0.96,0.94,0.24,0.38,0.38,0.43,0.33,0.24
MS_syn,0.5,0.73,0.81,0.24,0.36,0.4,0.43,0.33,0.24
MS2_syn,0.5,0.59,0.78,0.27,0.31,0.42,0.43,0.33,0.24
SMM_syn,0.64,0.88,1.0,0.25,0.35,0.4,0.43,0.33,0.24
HDy_syn,0.57,1.0,0.93,0.23,0.4,0.37,0.43,0.33,0.24
CC2,0.45,0.35,0.2,0.45,0.35,0.2,0.43,0.33,0.24
PWK,0.47,0.3,0.23,0.47,0.3,0.23,0.43,0.33,0.24
HDx,0.71,0.2,0.1,0.71,0.2,0.1,0.43,0.33,0.24
GAC,0.0,1.0,0.0,0.0,1.0,0.0,0.43,0.33,0.24
GPAC,0.0,0.9,1.0,0.0,0.9,1.0,0.43,0.33,0.24
FM,0.0,0.0,1.0,0.0,0.0,1.0,0.43,0.33,0.24
EMQ,0.43,0.41,0.16,0.43,0.41,0.16,0.43,0.33,0.24
KDEyHD,0.0,0.32,0.68,0.0,0.32,0.68,0.43,0.33,0.24
KDEyCS,0.0,0.57,0.43,0.0,0.57,0.43,0.43,0.33,0.24
KDEyML,0.0,0.34,0.66,0.0,0.34,0.66,0.43,0.33,0.24
CC,0.54,0.8,0.83,0.25,0.37,0.38,0.43,0.33,0.24
PCC,0.57,0.64,0.79,0.28,0.32,0.39,0.43,0.33,0.24
ACC,0.4,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
PACC,0.52,0.75,0.84,0.25,0.36,0.4,0.43,0.33,0.24
T50,0.34,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MAX,0.33,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MS,0.32,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MS2,0.32,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
X,0.39,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
SMM,0.52,0.75,0.84,0.25,0.36,0.4,0.43,0.33,0.24
DyS,0.54,0.78,0.84,0.25,0.36,0.39,0.43,0.33,0.24
DySyn,0.53,1.0,0.96,0.21,0.4,0.39,0.43,0.33,0.24
HDy,0.59,0.78,0.88,0.26,0.35,0.39,0.43,0.33,0.24
ACC_syn,0.49,0.72,0.81,0.24,0.35,0.4,0.43,0.33,0.24
PACC_syn,0.51,0.52,0.76,0.29,0.29,0.42,0.43,0.33,0.24
X_syn,0.15,0.0,0.23,0.39,0.0,0.61,0.43,0.33,0.24
MAX_syn,0.15,0.0,0.23,0.39,0.0,0.61,0.43,0.33,0.24
T50_syn,0.56,0.94,0.96,0.23,0.38,0.39,0.43,0.33,0.24
MS_syn,0.46,0.74,0.81,0.23,0.37,0.4,0.43,0.33,0.24
MS2_syn,0.44,0.58,0.77,0.25,0.32,0.43,0.43,0.33,0.24
SMM_syn,0.6,0.92,1.0,0.24,0.37,0.4,0.43,0.33,0.24
HDy_syn,0.56,0.99,0.94,0.22,0.4,0.38,0.43,0.33,0.24
CC2,0.5,0.3,0.2,0.5,0.3,0.2,0.43,0.33,0.24
PWK,0.44,0.31,0.25,0.44,0.31,0.25,0.43,0.33,0.24
HDx,0.66,0.12,0.18,0.66,0.12,0.18,0.43,0.33,0.24
GAC,1.0,1.0,0.0,1.0,1.0,0.0,0.43,0.33,0.24
GPAC,1.0,1.0,0.0,1.0,1.0,0.0,0.43,0.33,0.24
FM,0.1,0.67,0.22,0.1,0.67,0.22,0.43,0.33,0.24
EMQ,0.49,0.3,0.21,0.49,0.3,0.21,0.43,0.33,0.24
KDEyHD,0.0,1.0,0.0,0.0,1.0,0.0,0.43,0.33,0.24
KDEyCS,0.0,1.0,0.0,0.0,1.0,0.0,0.43,0.33,0.24
KDEyML,0.0,1.0,0.0,0.0,1.0,0.0,0.43,0.33,0.24
CC,0.55,0.78,0.8,0.26,0.37,0.38,0.43,0.33,0.24
PCC,0.57,0.64,0.77,0.29,0.32,0.39,0.43,0.33,0.24
ACC,0.39,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
PACC,0.53,0.76,0.8,0.25,0.36,0.38,0.43,0.33,0.24
T50,0.13,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MAX,0.45,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MS,0.33,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MS2,0.33,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
X,0.43,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
SMM,0.53,0.76,0.8,0.25,0.36,0.38,0.43,0.33,0.24
DyS,0.56,0.64,0.81,0.28,0.32,0.4,0.43,0.33,0.24
DySyn,0.57,1.0,0.95,0.23,0.4,0.38,0.43,0.33,0.24
HDy,0.62,0.67,0.88,0.29,0.31,0.41,0.43,0.33,0.24
ACC_syn,0.55,0.7,0.78,0.27,0.34,0.38,0.43,0.33,0.24
PACC_syn,0.57,0.53,0.75,0.31,0.29,0.41,0.43,0.33,0.24
X_syn,0.19,0.0,0.34,0.36,0.0,0.64,0.43,0.33,0.24
MAX_syn,0.19,0.0,0.34,0.36,0.0,0.64,0.43,0.33,0.24
T50_syn,0.63,0.96,0.96,0.25,0.38,0.38,0.43,0.33,0.24
MS_syn,0.55,0.71,0.78,0.27,0.35,0.38,0.43,0.33,0.24
MS2_syn,0.54,0.61,0.75,0.28,0.32,0.39,0.43,0.33,0.24
SMM_syn,0.59,0.94,1.0,0.23,0.37,0.4,0.43,0.33,0.24
HDy_syn,0.61,1.0,0.92,0.24,0.4,0.36,0.43,0.33,0.24
CC2,0.46,0.32,0.22,0.46,0.32,0.22,0.43,0.33,0.24
PWK,0.46,0.32,0.22,0.46,0.32,0.22,0.43,0.33,0.24
HDx,0.67,0.12,0.13,0.67,0.12,0.13,0.43,0.33,0.24
GAC,1.0,1.0,0.0,1.0,1.0,0.0,0.43,0.33,0.24
GPAC,1.0,1.0,0.0,1.0,1.0,0.0,0.43,0.33,0.24
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
EMQ,0.47,0.27,0.26,0.47,0.27,0.26,0.43,0.33,0.24
KDEyHD,0.1,0.26,0.64,0.1,0.26,0.64,0.43,0.33,0.24
KDEyCS,0.0,0.45,0.55,0.0,0.45,0.55,0.43,0.33,0.24
KDEyML,0.09,0.54,0.37,0.09,0.54,0.37,0.43,0.33,0.24
CC,0.62,0.76,0.78,0.29,0.35,0.36,0.43,0.33,0.24
PCC,0.6,0.63,0.76,0.3,0.32,0.38,0.43,0.33,0.24
ACC,0.29,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
PACC,0.58,0.64,0.78,0.29,0.32,0.39,0.43,0.33,0.24
T50,0.26,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MAX,0.32,0.0,0.01,0.98,0.0,0.02,0.43,0.33,0.24
MS,0.29,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
MS2,0.29,0.0,0.0,1.0,0.0,0.0,0.43,0.33,0.24
X,0.3,0.0,0.03,0.91,0.0,0.09,0.43,0.33,0.24
SMM,0.58,0.64,0.78,0.29,0.32,0.39,0.43,0.33,0.24
DyS,0.56,0.62,0.8,0.28,0.31,0.4,0.43,0.33,0.24
DySyn,0.61,1.0,0.87,0.25,0.4,0.35,0.43,0.33,0.24
HDy,0.57,0.69,0.84,0.27,0.33,0.4,0.43,0.33,0.24
ACC_syn,0.57,0.68,0.76,0.28,0.34,0.38,0.43,0.33,0.24
PACC_syn,0.55,0.51,0.74,0.3,0.28,0.41,0.43,0.33,0.24
X_syn,0.2,0.0,0.24,0.45,0.0,0.55,0.43,0.33,0.24
MAX_syn,0.2,0.0,0.24,0.45,0.0,0.55,0.43,0.33,0.24
T50_syn,0.6,0.92,0.98,0.24,0.37,0.39,0.43,0.33,0.24
MS_syn,0.53,0.61,0.76,0.28,0.32,0.4,0.43,0.33,0.24
MS2_syn,0.53,0.57,0.74,0.29,0.31,0.4,0.43,0.33,0.24
SMM_syn,0.68,1.0,0.99,0.25,0.37,0.37,0.43,0.33,0.24
HDy_syn,0.62,1.0,0.89,0.25,0.4,0.35,0.43,0.33,0.24
CC2,0.41,0.35,0.24,0.41,0.35,0.24,0.43,0.33,0.24
PWK,0.42,0.37,0.21,0.42,0.37,0.21,0.43,0.33,0.24
HDx,0.75,0.16,0.09,0.75,0.16,0.09,0.43,0.33,0.24
GAC,0.42,0.4,0.18,0.42,0.4,0.18,0.43,0.33,0.24
GPAC,0.57,1.0,0.0,0.57,1.0,0.0,0.43,0.33,0.24
FM,0.23,0.0,0.77,0.23,0.0,0.77,0.43,0.33,0.24
EMQ,0.43,0.35,0.22,0.43,0.35,0.22,0.43,0.33,0.24
KDEyHD,0.64,0.0,0.36,0.64,0.0,0.36,0.43,0.33,0.24
KDEyCS,0.37,0.0,0.63,0.37,0.0,0.63,0.43,0.33,0.24
KDEyML,0.66,0.0,0.34,0.66,0.0,0.34,0.43,0.33,0.24
CC,0.43,0.93,0.87,0.19,0.42,0.39,0.69,0.16,0.15
PCC,0.45,0.68,0.83,0.23,0.35,0.42,0.69,0.16,0.15
ACC,0.57,0.0,0.0,1.0,0.0,0.0,0.69,0.16,0.15
PACC,0.33,1.0,0.95,0.14,0.44,0.42,0.69,0.16,0.15
T50,0.5,0.0,0.0,1.0,0.0,0.0,0.69,0.16,0.15
MAX,0.55,0.0,0.0,1.0,0.0,0.0,0.69,0.16,0.15
MS,0.53,0.0,0.0,1.0,0.0,0.0,0.69,0.16,0.15
MS2,0.54,0.0,0.0,1.0,0.0,0.0,0.69,0.16,0.15
X,0.57,0.0,0.0,1.0,0.0,0.0,0.69,0.16,0.15
SMM,0.33,1.0,0.95,0.14,0.44,0.42,0.69,0.16,0.15
DyS,0.33,1.0,0.94,0.15,0.44,0.41,0.69,0.16,0.15
DySyn,0.41,1.0,0.93,0.18,0.43,0.4,0.69,0.16,0.15
HDy,0.37,1.0,0.96,0.16,0.43,0.41,0.69,0.16,0.15
ACC_syn,0.38,0.91,0.87,0.17,0.42,0.4,0.69,0.16,0.15
PACC_syn,0.4,0.57,0.83,0.22,0.32,0.46,0.69,0.16,0.15
X_syn,0.09,0.0,0.39,0.19,0.0,0.81,0.69,0.16,0.15
MAX_syn,0.09,0.0,0.39,0.19,0.0,0.81,0.69,0.16,0.15
T50_syn,0.23,0.94,1.0,0.1,0.43,0.46,0.69,0.16,0.15
MS_syn,0.3,0.9,0.87,0.14,0.44,0.42,0.69,0.16,0.15
MS2_syn,0.3,0.74,0.87,0.16,0.39,0.46,0.69,0.16,0.15
SMM_syn,0.41,1.0,0.91,0.18,0.43,0.39,0.69,0.16,0.15
