qnt,c1_p,c2_p,c3_p,c4_p,c5_p,c6_p,c1_p_normalized,c2_p_normalized,c3_p_normalized,c4_p_normalized,c5_p_normalized,c6_p_normalized,c1_real,c2_real,c3_real,c4_real,c5_real,c6_real
PCC,0.909886292022644,0.6917460309914081,0.7500103155424809,0.9287896716737214,0.905362352488738,0.8354959650279234,0.18120566194570492,0.13776259576948624,0.14936604374143053,0.18497030754232108,0.18030471040370347,0.16639068059735385,0.09,0.34,0.25,0.07,0.08,0.17
ACC,0.08812061118604353,0.251043313910706,0.24993816834308835,0.0,0.07190297907904641,0.13002273237984063,0.11140014376274117,0.31736345088760437,0.3159663501020522,0.0,0.0908981689818756,0.16437188626572666,0.09,0.34,0.25,0.07,0.08,0.17
PACC,0.08823466574332484,0.2378056206301955,0.2499278515734945,0.0,0.07664635170711809,0.13469614110815653,0.11207096957130418,0.30204802442454953,0.3174450360609376,0.0,0.09735211073284708,0.17108385921036162,0.09,0.34,0.25,0.07,0.08,0.17
T50,0.0811019806594645,0.0,0.24410950476776372,0.0,0.0,0.0,0.24938227674499674,0.0,0.7506177232550033,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.17
MAX,0.08880210075535289,0.24676614589844537,0.25000154352166604,0.0047912997345795905,0.07388275675553913,0.14536231160484347,0.10968555494323576,0.3047977629340364,0.30879402406689693,0.005918062363576031,0.09125765163814457,0.17954694405411034,0.09,0.34,0.25,0.07,0.08,0.17
MS,0.08812061118604353,0.2385865614294781,0.24993816834308835,0.0,0.07444913207177106,0.13196606974722325,0.11253358632203553,0.30468469345062976,0.3191811548268406,0.0,0.0950745542709783,0.16852601112951582,0.09,0.34,0.25,0.07,0.08,0.17
MS2,0.08812061118604353,0.2385865614294781,0.24993816834308835,0.0,0.07444913207177106,0.13196606974722325,0.11253358632203553,0.30468469345062976,0.3191811548268406,0.0,0.0950745542709783,0.16852601112951582,0.09,0.34,0.25,0.07,0.08,0.17
X,0.08884194434369364,0.24850881290203541,0.24997429431116758,0.002093866928127852,0.07334838271471023,0.14447024368882988,0.11005675455290903,0.30785091015103977,0.3096663378630083,0.0025938671229878197,0.09086344308333136,0.17896868722672374,0.09,0.34,0.25,0.07,0.08,0.17
SMM,0.91,0.66,0.75,0.94,0.91,0.83,0.182,0.132,0.15,0.188,0.182,0.16599999999999998,0.09,0.34,0.25,0.07,0.08,0.17
DyS,0.908582188141394,0.6663365267243997,0.7487563041478054,0.9474609380270578,0.9094747582049727,0.8295538701802686,0.18134777264291374,0.13299693360627524,0.14944744656210848,0.18910774723511745,0.18152592448770044,0.16557417546588457,0.09,0.34,0.25,0.07,0.08,0.17
DySyn,0.91,0.6699999999999999,0.74,0.94,0.88,0.83,0.18309859154929575,0.13480885311871224,0.14889336016096577,0.18913480885311867,0.1770623742454728,0.1670020120724346,0.09,0.34,0.25,0.07,0.08,0.17
HDy,0.9084624736952339,0.68800385376904,0.7487146355892779,0.9632957728919477,0.9186407311100537,0.8396416972090364,0.1792985307260192,0.13578775534102178,0.14776992774195719,0.19012069483901833,0.18130736064763975,0.1657157307043437,0.09,0.34,0.25,0.07,0.08,0.17
CC,0.88,0.71,0.69,0.95,0.8200000000000001,0.95,0.176,0.142,0.13799999999999998,0.19,0.164,0.19,0.12,0.32,0.31,0.02,0.18,0.05
PCC,0.8813698773675482,0.7231703635621134,0.6900393517854221,0.9260795908549994,0.818557105390854,0.9499561106210735,0.17665652873438265,0.14494796043181435,0.13830737776133636,0.1856178774124113,0.164066710835535,0.19040354482452046,0.12,0.32,0.31,0.02,0.18,0.05
ACC,0.11821205066110607,0.21723352754918424,0.3099453058039934,0.0,0.1639547220133153,0.01588619407544456,0.14324708602642966,0.26323940439772087,0.37558575150071977,0.0,0.19867717408956234,0.01925058398556734,0.12,0.32,0.31,0.02,0.18,0.05
PACC,0.11683799793131155,0.20239062160456356,0.30990594933737414,0.0,0.1654305104982301,0.015931733909799073,0.14415602383221657,0.24971180427618167,0.3823654137302857,0.0,0.20411000732808354,0.019656750833232522,0.12,0.32,0.31,0.02,0.18,0.05
T50,0.10152350283557054,0.0,0.30458074438634275,0.0,0.08543387307630668,0.0,0.20654248092492897,0.0,0.6196482669575073,0.0,0.1738092521175637,0.0,0.12,0.32,0.31,0.02,0.18,0.05
MAX,0.11888789790080223,0.22493069746034156,0.3100067976043758,0.0,0.15509588635800842,0.04378505934301302,0.13942419858953867,0.2637844792054523,0.3635563423735811,0.0,0.1818866347358773,0.05134834509555064,0.12,0.32,0.31,0.02,0.18,0.05
MS,0.11758663728636798,0.19914199392815868,0.3099453058039934,0.0,0.16180411263106842,0.01588619407544456,0.14618580848624127,0.24757688507625178,0.3853295422091714,0.0,0.20115776390276763,0.019750000325567875,0.12,0.32,0.31,0.02,0.18,0.05
MS2,0.11758663728636798,0.19914199392815868,0.3099453058039934,0.0,0.16180411263106842,0.01588619407544456,0.14618580848624127,0.24757688507625178,0.3853295422091714,0.0,0.20115776390276763,0.019750000325567875,0.12,0.32,0.31,0.02,0.18,0.05
X,0.1189278544050476,0.2266693812077758,0.30998033419950777,0.0,0.15458448439176853,0.04287902953742162,0.13941632668313986,0.2657191846066567,0.36338265542839254,0.0,0.18121575541678006,0.05026607786503086,0.12,0.32,0.31,0.02,0.18,0.05
SMM,0.88,0.7,0.69,0.94,0.82,0.95,0.17670682730923692,0.1405622489959839,0.13855421686746985,0.18875502008032125,0.16465863453815258,0.19076305220883533,0.12,0.32,0.31,0.02,0.18,0.05
DyS,0.8864745031228303,0.7109354823063077,0.6888561224177321,0.9504656650869663,0.8184039550299615,0.9454677558599145,0.17727350428612418,0.14216993700982083,0.13775459794924555,0.19007019216012558,0.16366103764823378,0.1890707309464502,0.12,0.32,0.31,0.02,0.18,0.05
DySyn,0.84,0.6799999999999999,0.7,0.95,0.79,0.94,0.1714285714285714,0.1387755102040816,0.14285714285714285,0.19387755102040813,0.16122448979591836,0.19183673469387752,0.12,0.32,0.31,0.02,0.18,0.05
HDy,0.8863973099123102,0.755161295724275,0.688891943092576,0.9614850956015211,0.8269470361988551,0.9477637070960011,0.17494753770012283,0.14904558912353422,0.13596605928037184,0.1897675547182042,0.16321388408287954,0.18705937509488724,0.12,0.32,0.31,0.02,0.18,0.05
CC,0.87,0.72,0.69,0.96,0.8200000000000001,0.94,0.174,0.144,0.13799999999999998,0.192,0.164,0.188,0.12,0.32,0.31,0.02,0.18,0.05
PCC,0.869229646304365,0.7321649152126493,0.6899882314716695,0.9373175232940968,0.819120197981745,0.9426272409355275,0.1741786887556586,0.1467132712590233,0.13826178838415873,0.18782232963312978,0.1641376161343881,0.18888630583364166,0.12,0.32,0.31,0.02,0.18,0.05
ACC,0.12824253048612688,0.20596359876201042,0.3099453058039934,0.0,0.1639547220133153,0.02626224301220781,0.15370012871315775,0.2468497114018719,0.3714729677863485,0.0,0.19650159569568573,0.03147559640293617,0.12,0.32,0.31,0.02,0.18,0.05
PACC,0.1290152322063467,0.1922538259471538,0.3099570757322807,0.0,0.16485458100462036,0.023536204960637686,0.1574091860253379,0.23456546746508702,0.37817310529486586,0.0,0.20113613690964524,0.028716104305063953,0.12,0.32,0.31,0.02,0.18,0.05
T50,0.1219450250116767,0.0,0.30458074438634275,0.0,0.061978619375399946,0.0,0.24962933356211436,0.0,0.6234964339851918,0.0,0.12687423245269386,0.0,0.12,0.32,0.31,0.02,0.18,0.05
MAX,0.12891649694928542,0.21401297324128954,0.3100067976043758,0.0,0.16524752755831706,0.04378505934301302,0.149560504706066,0.24828388180765315,0.3596496508143653,0.0,0.1917093949021428,0.05079656776977274,0.12,0.32,0.31,0.02,0.18,0.05
MS,0.1285399119174433,0.19472037373607676,0.3099453058039934,0.0,0.16348536024314353,0.023684809605987955,0.1566841903187299,0.2373551035027387,0.3778089509986634,0.0,0.19928107088726504,0.028870684292602967,0.12,0.32,0.31,0.02,0.18,0.05
MS2,0.1285399119174433,0.19472037373607676,0.3099453058039934,0.0,0.16348536024314353,0.023684809605987955,0.1566841903187299,0.2373551035027387,0.3778089509986634,0.0,0.19928107088726504,0.028870684292602967,0.12,0.32,0.31,0.02,0.18,0.05
X,0.12895649109216556,0.215749665360646,0.30998033419950777,0.0,0.16473899710140083,0.04287902953742162,0.14954866698051367,0.2502012468152268,0.3594789636186591,0.0,0.19104503548110213,0.04972608710449823,0.12,0.32,0.31,0.02,0.18,0.05
SMM,0.87,0.71,0.69,0.96,0.82,0.94,0.17434869739478956,0.14228456913827653,0.1382765531062124,0.19238476953907815,0.16432865731462923,0.18837675350701402,0.12,0.32,0.31,0.02,0.18,0.05
DyS,0.8675274317323506,0.7163496783811515,0.6888561224177321,0.9631803141398287,0.8193656590576852,0.9425432386161742,0.17358108284018073,0.14333235851379775,0.13783125152778855,0.1927199945307531,0.16394453147986562,0.1885907811076141,0.12,0.32,0.31,0.02,0.18,0.05
DySyn,0.87,0.7,0.7,0.96,0.8,0.9299999999999999,0.17540322580645165,0.14112903225806453,0.14112903225806453,0.19354838709677422,0.1612903225806452,0.18750000000000003,0.12,0.32,0.31,0.02,0.18,0.05
HDy,0.8729168145239605,0.7602919576784692,0.688891943092576,0.9765639204917005,0.8250620608879342,0.9509030530542276,0.17201586274754319,0.14982215357072912,0.1357521586928352,0.19244042790390314,0.1625856666551912,0.18738373042979797,0.12,0.32,0.31,0.02,0.18,0.05
