qnt,batch_index,t,c0_p,c1_p,c0_p_normalized,c1_p_normalized,c0_real,c1_real
MAX_cdt,1,0.2448979591836734,0.41,0.59,0.41,0.59,0.41,0.59
T50_cdt,1,0.2448979591836734,0.4,0.6,0.4,0.6,0.41,0.59
MS_cdt,1,0.2448979591836734,0.41,0.59,0.41,0.59,0.41,0.59
MS2_cdt,1,0.2448979591836734,0.41,0.59,0.41,0.59,0.41,0.59
SMM_cdt,1,0.2448979591836734,0.41,0.59,0.41,0.59,0.41,0.59
HDy_cdt,1,0.2448979591836734,0.41,0.59,0.41,0.59,0.41,0.59
CC2,1,0.2448979591836734,0.42,0.58,0.42,0.58,0.41,0.59
PWK,1,0.2448979591836734,0.42,0.58,0.42,0.58,0.41,0.59
HDx,1,0.2448979591836734,0.44,0.56,0.44,0.56,0.41,0.59
GAC,1,0.2448979591836734,0.0,1.0,0.0,1.0,0.41,0.59
GPAC,1,0.2448979591836734,0.0,1.0,0.0,1.0,0.41,0.59
FM,1,0.2448979591836734,0.0,1.0,0.0,1.0,0.41,0.59
EMQ,1,0.2448979591836734,0.41,0.59,0.41,0.59,0.41,0.59
KDEyHD,1,0.2448979591836734,0.0,1.0,0.0,1.0,0.41,0.59
KDEyCS,1,0.2448979591836734,0.0,1.0,0.0,1.0,0.41,0.59
KDEyML,1,0.2448979591836734,0.0,1.0,0.0,1.0,0.41,0.59
CC,2,0.2653061224489795,0.58,0.42,0.58,0.42,0.59,0.41
PCC,2,0.2653061224489795,0.58,0.42,0.58,0.42,0.59,0.41
ACC,2,0.2653061224489795,0.59,0.41,0.59,0.41,0.59,0.41
PACC,2,0.2653061224489795,0.59,0.41,0.59,0.41,0.59,0.41
T50,2,0.2653061224489795,0.58,0.42,0.58,0.42,0.59,0.41
MAX,2,0.2653061224489795,0.58,0.42,0.58,0.42,0.59,0.41
MS,2,0.2653061224489795,0.59,0.41,0.59,0.41,0.59,0.41
MS2,2,0.2653061224489795,0.59,0.41,0.59,0.41,0.59,0.41
X,2,0.2653061224489795,0.59,0.41,0.59,0.41,0.59,0.41
SMM,2,0.2653061224489795,0.59,0.41,0.59,0.41,0.59,0.41
DyS,2,0.2653061224489795,0.59,0.41,0.59,0.41,0.59,0.41
DySyn,2,0.2653061224489795,0.61,0.39,0.61,0.39,0.59,0.41
HDy,2,0.2653061224489795,0.59,0.41,0.59,0.41,0.59,0.41
ACC_syn,2,0.2653061224489795,0.58,0.42,0.58,0.42,0.59,0.41
PACC_syn,2,0.2653061224489795,0.58,0.42,0.58,0.42,0.59,0.41
X_syn,2,0.2653061224489795,0.5,0.5,0.5,0.5,0.59,0.41
MAX_syn,2,0.2653061224489795,0.5,0.5,0.5,0.5,0.59,0.41
T50_syn,2,0.2653061224489795,0.23,0.77,0.23,0.77,0.59,0.41
MS_syn,2,0.2653061224489795,0.57,0.43,0.57,0.43,0.59,0.41
MS2_syn,2,0.2653061224489795,0.58,0.42,0.58,0.42,0.59,0.41
SMM_syn,2,0.2653061224489795,0.6,0.4,0.6,0.4,0.59,0.41
HDy_syn,2,0.2653061224489795,0.62,0.38,0.62,0.38,0.59,0.41
DyS_cdt,2,0.2653061224489795,0.59,0.41,0.59,0.41,0.59,0.41
ACC_cdt,2,0.2653061224489795,0.59,0.41,0.59,0.41,0.59,0.41
PACC_cdt,2,0.2653061224489795,0.59,0.41,0.59,0.41,0.59,0.41
X_cdt,2,0.2653061224489795,0.59,0.41,0.59,0.41,0.59,0.41
