qnt,batch_index,t,c0_p,c1_p,c0_p_normalized,c1_p_normalized,c0_real,c1_real
T50,8,0.3877551020408163,0.36,0.64,0.36,0.64,0.38,0.62
MAX,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
MS,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
MS2,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
X,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
SMM,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
DyS,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
DySyn,8,0.3877551020408163,0.39,0.61,0.39,0.61,0.38,0.62
HDy,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
ACC_syn,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
PACC_syn,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
X_syn,8,0.3877551020408163,0.32,0.68,0.32,0.68,0.38,0.62
MAX_syn,8,0.3877551020408163,0.32,0.68,0.32,0.68,0.38,0.62
T50_syn,8,0.3877551020408163,0.0,1.0,0.0,1.0,0.38,0.62
MS_syn,8,0.3877551020408163,0.36,0.64,0.36,0.64,0.38,0.62
MS2_syn,8,0.3877551020408163,0.37,0.63,0.37,0.63,0.38,0.62
SMM_syn,8,0.3877551020408163,0.35,0.65,0.35,0.65,0.38,0.62
HDy_syn,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
DyS_cdt,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
ACC_cdt,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
PACC_cdt,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
X_cdt,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
MAX_cdt,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
T50_cdt,8,0.3877551020408163,0.36,0.64,0.36,0.64,0.38,0.62
MS_cdt,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
MS2_cdt,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
SMM_cdt,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
HDy_cdt,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
CC2,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
PWK,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
HDx,8,0.3877551020408163,0.4,0.6,0.4,0.6,0.38,0.62
GAC,8,0.3877551020408163,0.0,1.0,0.0,1.0,0.38,0.62
GPAC,8,0.3877551020408163,0.0,1.0,0.0,1.0,0.38,0.62
FM,8,0.3877551020408163,0.0,1.0,0.0,1.0,0.38,0.62
EMQ,8,0.3877551020408163,0.37,0.63,0.37,0.63,0.38,0.62
KDEyHD,8,0.3877551020408163,0.0,1.0,0.0,1.0,0.38,0.62
KDEyCS,8,0.3877551020408163,0.0,1.0,0.0,1.0,0.38,0.62
KDEyML,8,0.3877551020408163,0.0,1.0,0.0,1.0,0.38,0.62
CC,9,0.4081632653061224,0.69,0.31,0.69,0.31,0.7,0.3
PCC,9,0.4081632653061224,0.69,0.31,0.69,0.31,0.7,0.3
ACC,9,0.4081632653061224,0.7,0.3,0.7,0.3,0.7,0.3
PACC,9,0.4081632653061224,0.7,0.3,0.7,0.3,0.7,0.3
T50,9,0.4081632653061224,0.71,0.29,0.71,0.29,0.7,0.3
MAX,9,0.4081632653061224,0.7,0.3,0.7,0.3,0.7,0.3
MS,9,0.4081632653061224,0.7,0.3,0.7,0.3,0.7,0.3
MS2,9,0.4081632653061224,0.7,0.3,0.7,0.3,0.7,0.3
X,9,0.4081632653061224,0.7,0.3,0.7,0.3,0.7,0.3
SMM,9,0.4081632653061224,0.7,0.3,0.7,0.3,0.7,0.3
DyS,9,0.4081632653061224,0.7,0.3,0.7,0.3,0.7,0.3
DySyn,9,0.4081632653061224,0.69,0.31,0.69,0.31,0.7,0.3
HDy,9,0.4081632653061224,0.7,0.3,0.7,0.3,0.7,0.3
ACC_syn,9,0.4081632653061224,0.69,0.31,0.69,0.31,0.7,0.3
PACC_syn,9,0.4081632653061224,0.69,0.31,0.69,0.31,0.7,0.3
X_syn,9,0.4081632653061224,0.58,0.42,0.58,0.42,0.7,0.3
MAX_syn,9,0.4081632653061224,0.58,0.42,0.58,0.42,0.7,0.3
T50_syn,9,0.4081632653061224,0.43,0.57,0.43,0.57,0.7,0.3
MS_syn,9,0.4081632653061224,0.68,0.32,0.68,0.32,0.7,0.3
MS2_syn,9,0.4081632653061224,0.68,0.32,0.68,0.32,0.7,0.3
SMM_syn,9,0.4081632653061224,0.73,0.27,0.73,0.27,0.7,0.3
HDy_syn,9,0.4081632653061224,0.68,0.32,0.68,0.32,0.7,0.3
DyS_cdt,9,0.4081632653061224,0.7,0.3,0.7,0.3,0.7,0.3
ACC_cdt,9,0.4081632653061224,0.7,0.3,0.7,0.3,0.7,0.3
PACC_cdt,9,0.4081632653061224,0.7,0.3,0.7,0.3,0.7,0.3
X_cdt,9,0.4081632653061224,0.7,0.3,0.7,0.3,0.7,0.3
MAX_cdt,9,0.4081632653061224,0.7,0.3,0.7,0.3,0.7,0.3
T50_cdt,9,0.4081632653061224,0.71,0.29,0.71,0.29,0.7,0.3
MS_cdt,9,0.4081632653061224,0.7,0.3,0.7,0.3,0.7,0.3
MS2_cdt,9,0.4081632653061224,0.7,0.3,0.7,0.3,0.7,0.3
SMM_cdt,9,0.4081632653061224,0.7,0.3,0.7,0.3,0.7,0.3
HDy_cdt,9,0.4081632653061224,0.7,0.3,0.7,0.3,0.7,0.3
CC2,9,0.4081632653061224,0.69,0.31,0.69,0.31,0.7,0.3
PWK,9,0.4081632653061224,0.7,0.3,0.7,0.3,0.7,0.3
HDx,9,0.4081632653061224,0.7,0.3,0.7,0.3,0.7,0.3
GAC,9,0.4081632653061224,1.0,0.0,1.0,0.0,0.7,0.3
GPAC,9,0.4081632653061224,1.0,0.0,1.0,0.0,0.7,0.3
FM,9,0.4081632653061224,1.0,0.0,1.0,0.0,0.7,0.3
EMQ,9,0.4081632653061224,0.7,0.3,0.7,0.3,0.7,0.3
KDEyHD,9,0.4081632653061224,1.0,0.0,1.0,0.0,0.7,0.3
KDEyCS,9,0.4081632653061224,1.0,0.0,1.0,0.0,0.7,0.3
KDEyML,9,0.4081632653061224,1.0,0.0,1.0,0.0,0.7,0.3
CC,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
PCC,10,0.4285714285714285,0.3,0.7,0.3,0.7,0.29,0.71
ACC,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
PACC,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
T50,10,0.4285714285714285,0.27,0.73,0.27,0.73,0.29,0.71
MAX,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
MS,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
MS2,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
X,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
SMM,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
DyS,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
DySyn,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
HDy,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
ACC_syn,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
PACC_syn,10,0.4285714285714285,0.3,0.7,0.3,0.7,0.29,0.71
X_syn,10,0.4285714285714285,0.24,0.76,0.24,0.76,0.29,0.71
MAX_syn,10,0.4285714285714285,0.24,0.76,0.24,0.76,0.29,0.71
T50_syn,10,0.4285714285714285,0.0,1.0,0.0,1.0,0.29,0.71
MS_syn,10,0.4285714285714285,0.28,0.72,0.28,0.72,0.29,0.71
MS2_syn,10,0.4285714285714285,0.28,0.72,0.28,0.72,0.29,0.71
SMM_syn,10,0.4285714285714285,0.25,0.75,0.25,0.75,0.29,0.71
HDy_syn,10,0.4285714285714285,0.31,0.69,0.31,0.69,0.29,0.71
DyS_cdt,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
ACC_cdt,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
PACC_cdt,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
X_cdt,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
MAX_cdt,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
T50_cdt,10,0.4285714285714285,0.27,0.73,0.27,0.73,0.29,0.71
MS_cdt,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
MS2_cdt,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
SMM_cdt,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
HDy_cdt,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
CC2,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
PWK,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
HDx,10,0.4285714285714285,0.34,0.66,0.34,0.66,0.29,0.71
GAC,10,0.4285714285714285,0.0,1.0,0.0,1.0,0.29,0.71
GPAC,10,0.4285714285714285,0.0,1.0,0.0,1.0,0.29,0.71
FM,10,0.4285714285714285,0.0,1.0,0.0,1.0,0.29,0.71
EMQ,10,0.4285714285714285,0.29,0.71,0.29,0.71,0.29,0.71
KDEyHD,10,0.4285714285714285,0.0,1.0,0.0,1.0,0.29,0.71
KDEyCS,10,0.4285714285714285,0.0,1.0,0.0,1.0,0.29,0.71
KDEyML,10,0.4285714285714285,0.0,1.0,0.0,1.0,0.29,0.71
CC,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
PCC,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
ACC,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
PACC,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
T50,11,0.4489795918367346,0.51,0.49,0.51,0.49,0.52,0.48
MAX,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
MS,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
MS2,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
X,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
SMM,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
DyS,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
DySyn,11,0.4489795918367346,0.51,0.49,0.51,0.49,0.52,0.48
HDy,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
ACC_syn,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
PACC_syn,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
X_syn,11,0.4489795918367346,0.43,0.57,0.43,0.57,0.52,0.48
MAX_syn,11,0.4489795918367346,0.43,0.57,0.43,0.57,0.52,0.48
T50_syn,11,0.4489795918367346,0.11,0.89,0.11,0.89,0.52,0.48
MS_syn,11,0.4489795918367346,0.5,0.5,0.5,0.5,0.52,0.48
MS2_syn,11,0.4489795918367346,0.51,0.49,0.51,0.49,0.52,0.48
SMM_syn,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
HDy_syn,11,0.4489795918367346,0.54,0.46,0.54,0.46,0.52,0.48
DyS_cdt,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
ACC_cdt,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
PACC_cdt,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
X_cdt,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
MAX_cdt,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
T50_cdt,11,0.4489795918367346,0.51,0.49,0.51,0.49,0.52,0.48
MS_cdt,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
MS2_cdt,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
SMM_cdt,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
HDy_cdt,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
CC2,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
PWK,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
HDx,11,0.4489795918367346,0.53,0.47,0.53,0.47,0.52,0.48
GAC,11,0.4489795918367346,1.0,0.0,1.0,0.0,0.52,0.48
GPAC,11,0.4489795918367346,1.0,0.0,1.0,0.0,0.52,0.48
FM,11,0.4489795918367346,1.0,0.0,1.0,0.0,0.52,0.48
EMQ,11,0.4489795918367346,0.52,0.48,0.52,0.48,0.52,0.48
KDEyHD,11,0.4489795918367346,0.98,0.02,0.98,0.02,0.52,0.48
KDEyCS,11,0.4489795918367346,1.0,0.0,1.0,0.0,0.52,0.48
KDEyML,11,0.4489795918367346,1.0,0.0,1.0,0.0,0.52,0.48
CC,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
PCC,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
ACC,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
PACC,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
T50,12,0.4693877551020408,0.48,0.52,0.48,0.52,0.49,0.51
MAX,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
MS,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
MS2,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
X,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
SMM,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
DyS,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
DySyn,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
HDy,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
ACC_syn,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
PACC_syn,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
X_syn,12,0.4693877551020408,0.41,0.59,0.41,0.59,0.49,0.51
MAX_syn,12,0.4693877551020408,0.41,0.59,0.41,0.59,0.49,0.51
T50_syn,12,0.4693877551020408,0.04,0.96,0.04,0.96,0.49,0.51
MS_syn,12,0.4693877551020408,0.48,0.52,0.48,0.52,0.49,0.51
MS2_syn,12,0.4693877551020408,0.48,0.52,0.48,0.52,0.49,0.51
SMM_syn,12,0.4693877551020408,0.48,0.52,0.48,0.52,0.49,0.51
HDy_syn,12,0.4693877551020408,0.47,0.53,0.47,0.53,0.49,0.51
DyS_cdt,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
ACC_cdt,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
PACC_cdt,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
X_cdt,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
MAX_cdt,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
T50_cdt,12,0.4693877551020408,0.48,0.52,0.48,0.52,0.49,0.51
MS_cdt,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
MS2_cdt,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
SMM_cdt,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
HDy_cdt,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
CC2,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
PWK,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
HDx,12,0.4693877551020408,0.5,0.5,0.5,0.5,0.49,0.51
GAC,12,0.4693877551020408,0.65,0.35,0.65,0.35,0.49,0.51
GPAC,12,0.4693877551020408,0.63,0.37,0.63,0.37,0.49,0.51
FM,12,0.4693877551020408,0.63,0.37,0.63,0.37,0.49,0.51
EMQ,12,0.4693877551020408,0.49,0.51,0.49,0.51,0.49,0.51
KDEyHD,12,0.4693877551020408,0.5,0.5,0.5,0.5,0.49,0.51
KDEyCS,12,0.4693877551020408,0.62,0.38,0.62,0.38,0.49,0.51
KDEyML,12,0.4693877551020408,0.73,0.27,0.73,0.27,0.49,0.51
CC,13,0.4897959183673469,0.42,0.58,0.42,0.58,0.42,0.58
PCC,13,0.4897959183673469,0.42,0.58,0.42,0.58,0.42,0.58
ACC,13,0.4897959183673469,0.41,0.59,0.41,0.59,0.42,0.58
PACC,13,0.4897959183673469,0.41,0.59,0.41,0.59,0.42,0.58
T50,13,0.4897959183673469,0.4,0.6,0.4,0.6,0.42,0.58
MAX,13,0.4897959183673469,0.42,0.58,0.42,0.58,0.42,0.58
MS,13,0.4897959183673469,0.41,0.59,0.41,0.59,0.42,0.58
MS2,13,0.4897959183673469,0.41,0.59,0.41,0.59,0.42,0.58
X,13,0.4897959183673469,0.41,0.59,0.41,0.59,0.42,0.58
SMM,13,0.4897959183673469,0.41,0.59,0.41,0.59,0.42,0.58
DyS,13,0.4897959183673469,0.41,0.59,0.41,0.59,0.42,0.58
DySyn,13,0.4897959183673469,0.42,0.58,0.42,0.58,0.42,0.58
HDy,13,0.4897959183673469,0.41,0.59,0.41,0.59,0.42,0.58
ACC_syn,13,0.4897959183673469,0.42,0.58,0.42,0.58,0.42,0.58
PACC_syn,13,0.4897959183673469,0.42,0.58,0.42,0.58,0.42,0.58
X_syn,13,0.4897959183673469,0.34,0.66,0.34,0.66,0.42,0.58
MAX_syn,13,0.4897959183673469,0.34,0.66,0.34,0.66,0.42,0.58
T50_syn,13,0.4897959183673469,0.0,1.0,0.0,1.0,0.42,0.58
MS_syn,13,0.4897959183673469,0.4,0.6,0.4,0.6,0.42,0.58
MS2_syn,13,0.4897959183673469,0.41,0.59,0.41,0.59,0.42,0.58
SMM_syn,13,0.4897959183673469,0.4,0.6,0.4,0.6,0.42,0.58
HDy_syn,13,0.4897959183673469,0.47,0.53,0.47,0.53,0.42,0.58
DyS_cdt,13,0.4897959183673469,0.41,0.59,0.41,0.59,0.42,0.58
ACC_cdt,13,0.4897959183673469,0.41,0.59,0.41,0.59,0.42,0.58
PACC_cdt,13,0.4897959183673469,0.41,0.59,0.41,0.59,0.42,0.58
X_cdt,13,0.4897959183673469,0.41,0.59,0.41,0.59,0.42,0.58
MAX_cdt,13,0.4897959183673469,0.42,0.58,0.42,0.58,0.42,0.58
T50_cdt,13,0.4897959183673469,0.4,0.6,0.4,0.6,0.42,0.58
MS_cdt,13,0.4897959183673469,0.41,0.59,0.41,0.59,0.42,0.58
MS2_cdt,13,0.4897959183673469,0.41,0.59,0.41,0.59,0.42,0.58
SMM_cdt,13,0.4897959183673469,0.41,0.59,0.41,0.59,0.42,0.58
HDy_cdt,13,0.4897959183673469,0.41,0.59,0.41,0.59,0.42,0.58
CC2,13,0.4897959183673469,0.42,0.58,0.42,0.58,0.42,0.58
PWK,13,0.4897959183673469,0.42,0.58,0.42,0.58,0.42,0.58
HDx,13,0.4897959183673469,0.46,0.54,0.46,0.54,0.42,0.58
GAC,13,0.4897959183673469,0.0,1.0,0.0,1.0,0.42,0.58
GPAC,13,0.4897959183673469,0.0,1.0,0.0,1.0,0.42,0.58
FM,13,0.4897959183673469,0.0,1.0,0.0,1.0,0.42,0.58
EMQ,13,0.4897959183673469,0.41,0.59,0.41,0.59,0.42,0.58
KDEyHD,13,0.4897959183673469,0.0,1.0,0.0,1.0,0.42,0.58
KDEyCS,13,0.4897959183673469,0.0,1.0,0.0,1.0,0.42,0.58
KDEyML,13,0.4897959183673469,0.0,1.0,0.0,1.0,0.42,0.58
CC,14,0.5102040816326531,0.25,0.75,0.25,0.75,0.24,0.76
PCC,14,0.5102040816326531,0.25,0.75,0.25,0.75,0.24,0.76
ACC,14,0.5102040816326531,0.24,0.76,0.24,0.76,0.24,0.76
PACC,14,0.5102040816326531,0.24,0.76,0.24,0.76,0.24,0.76
T50,14,0.5102040816326531,0.22,0.78,0.22,0.78,0.24,0.76
MAX,14,0.5102040816326531,0.24,0.76,0.24,0.76,0.24,0.76
MS,14,0.5102040816326531,0.24,0.76,0.24,0.76,0.24,0.76
MS2,14,0.5102040816326531,0.24,0.76,0.24,0.76,0.24,0.76
X,14,0.5102040816326531,0.24,0.76,0.24,0.76,0.24,0.76
SMM,14,0.5102040816326531,0.24,0.76,0.24,0.76,0.24,0.76
DyS,14,0.5102040816326531,0.24,0.76,0.24,0.76,0.24,0.76
DySyn,14,0.5102040816326531,0.27,0.73,0.27,0.73,0.24,0.76
HDy,14,0.5102040816326531,0.24,0.76,0.24,0.76,0.24,0.76
ACC_syn,14,0.5102040816326531,0.25,0.75,0.25,0.75,0.24,0.76
PACC_syn,14,0.5102040816326531,0.25,0.75,0.25,0.75,0.24,0.76
X_syn,14,0.5102040816326531,0.2,0.8,0.2,0.8,0.24,0.76
MAX_syn,14,0.5102040816326531,0.2,0.8,0.2,0.8,0.24,0.76
T50_syn,14,0.5102040816326531,0.0,1.0,0.0,1.0,0.24,0.76
MS_syn,14,0.5102040816326531,0.24,0.76,0.24,0.76,0.24,0.76
MS2_syn,14,0.5102040816326531,0.24,0.76,0.24,0.76,0.24,0.76
SMM_syn,14,0.5102040816326531,0.2,0.8,0.2,0.8,0.24,0.76
HDy_syn,14,0.5102040816326531,0.27,0.73,0.27,0.73,0.24,0.76
DyS_cdt,14,0.5102040816326531,0.24,0.76,0.24,0.76,0.24,0.76
ACC_cdt,14,0.5102040816326531,0.24,0.76,0.24,0.76,0.24,0.76
PACC_cdt,14,0.5102040816326531,0.24,0.76,0.24,0.76,0.24,0.76
X_cdt,14,0.5102040816326531,0.24,0.76,0.24,0.76,0.24,0.76
MAX_cdt,14,0.5102040816326531,0.24,0.76,0.24,0.76,0.24,0.76
T50_cdt,14,0.5102040816326531,0.22,0.78,0.22,0.78,0.24,0.76
MS_cdt,14,0.5102040816326531,0.24,0.76,0.24,0.76,0.24,0.76
MS2_cdt,14,0.5102040816326531,0.24,0.76,0.24,0.76,0.24,0.76
SMM_cdt,14,0.5102040816326531,0.24,0.76,0.24,0.76,0.24,0.76
HDy_cdt,14,0.5102040816326531,0.24,0.76,0.24,0.76,0.24,0.76
CC2,14,0.5102040816326531,0.25,0.75,0.25,0.75,0.24,0.76
PWK,14,0.5102040816326531,0.25,0.75,0.25,0.75,0.24,0.76
HDx,14,0.5102040816326531,0.24,0.76,0.24,0.76,0.24,0.76
GAC,14,0.5102040816326531,0.0,1.0,0.0,1.0,0.24,0.76
GPAC,14,0.5102040816326531,0.0,1.0,0.0,1.0,0.24,0.76
FM,14,0.5102040816326531,0.0,1.0,0.0,1.0,0.24,0.76
EMQ,14,0.5102040816326531,0.24,0.76,0.24,0.76,0.24,0.76
KDEyHD,14,0.5102040816326531,0.0,1.0,0.0,1.0,0.24,0.76
KDEyCS,14,0.5102040816326531,0.0,1.0,0.0,1.0,0.24,0.76
KDEyML,14,0.5102040816326531,0.0,1.0,0.0,1.0,0.24,0.76
CC,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
PCC,15,0.5306122448979591,0.73,0.27,0.73,0.27,0.75,0.25
ACC,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
PACC,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
T50,15,0.5306122448979591,0.75,0.25,0.75,0.25,0.75,0.25
MAX,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
MS,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
MS2,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
X,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
SMM,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
DyS,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
DySyn,15,0.5306122448979591,0.73,0.27,0.73,0.27,0.75,0.25
HDy,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
ACC_syn,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
PACC_syn,15,0.5306122448979591,0.73,0.27,0.73,0.27,0.75,0.25
X_syn,15,0.5306122448979591,0.62,0.38,0.62,0.38,0.75,0.25
MAX_syn,15,0.5306122448979591,0.62,0.38,0.62,0.38,0.75,0.25
T50_syn,15,0.5306122448979591,0.51,0.49,0.51,0.49,0.75,0.25
MS_syn,15,0.5306122448979591,0.73,0.27,0.73,0.27,0.75,0.25
MS2_syn,15,0.5306122448979591,0.72,0.28,0.72,0.28,0.75,0.25
SMM_syn,15,0.5306122448979591,0.79,0.21,0.79,0.21,0.75,0.25
HDy_syn,15,0.5306122448979591,0.75,0.25,0.75,0.25,0.75,0.25
DyS_cdt,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
ACC_cdt,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
PACC_cdt,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
X_cdt,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
MAX_cdt,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
T50_cdt,15,0.5306122448979591,0.75,0.25,0.75,0.25,0.75,0.25
MS_cdt,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
MS2_cdt,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
SMM_cdt,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
HDy_cdt,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
CC2,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
PWK,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
HDx,15,0.5306122448979591,0.76,0.24,0.76,0.24,0.75,0.25
GAC,15,0.5306122448979591,1.0,0.0,1.0,0.0,0.75,0.25
GPAC,15,0.5306122448979591,1.0,0.0,1.0,0.0,0.75,0.25
FM,15,0.5306122448979591,1.0,0.0,1.0,0.0,0.75,0.25
EMQ,15,0.5306122448979591,0.74,0.26,0.74,0.26,0.75,0.25
KDEyHD,15,0.5306122448979591,1.0,0.0,1.0,0.0,0.75,0.25
KDEyCS,15,0.5306122448979591,1.0,0.0,1.0,0.0,0.75,0.25
KDEyML,15,0.5306122448979591,1.0,0.0,1.0,0.0,0.75,0.25
CC,16,0.5510204081632653,0.7,0.3,0.7,0.3,0.71,0.29
PCC,16,0.5510204081632653,0.7,0.3,0.7,0.3,0.71,0.29
ACC,16,0.5510204081632653,0.7,0.3,0.7,0.3,0.71,0.29
PACC,16,0.5510204081632653,0.71,0.29,0.71,0.29,0.71,0.29
T50,16,0.5510204081632653,0.71,0.29,0.71,0.29,0.71,0.29
MAX,16,0.5510204081632653,0.7,0.3,0.7,0.3,0.71,0.29
MS,16,0.5510204081632653,0.7,0.3,0.7,0.3,0.71,0.29
MS2,16,0.5510204081632653,0.7,0.3,0.7,0.3,0.71,0.29
X,16,0.5510204081632653,0.7,0.3,0.7,0.3,0.71,0.29
SMM,16,0.5510204081632653,0.71,0.29,0.71,0.29,0.71,0.29
DyS,16,0.5510204081632653,0.7,0.3,0.7,0.3,0.71,0.29
DySyn,16,0.5510204081632653,0.67,0.33,0.67,0.33,0.71,0.29
