MFtr,MFte,R_1,P_1,MAE,Distance,Value.dist,Qnt
0.65,0.9500000000000002,0.0,0.674,0.67,,0.3258426966292135,MAX
0.65,0.9500000000000002,0.0,0.375,0.38,,0.625,ACC
0.65,0.9500000000000002,0.0,0.526,0.53,,0.474,CC
0.65,0.05,0.0,0.0,0.0,,1.0,T50
0.65,0.05,0.0,0.0,0.0,,1.0,MS2
0.65,0.05,0.0,0.0,0.0,,1.0,SMM
0.65,0.05,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.05,0.0,0.0,0.0,,1.0,X
0.65,0.05,0.0,0.0,0.0,,1.0,MAX
0.65,0.05,0.0,0.0,0.0,,1.0,ACC
0.65,0.05,0.0,0.0,0.0,,1.0,CC
0.65,0.15000000000000002,0.0,0.0,0.0,,1.0,T50
0.65,0.15000000000000002,0.0,0.0,0.0,,1.0,MS2
0.65,0.15000000000000002,0.0,0.0,0.0,,1.0,SMM
0.65,0.15000000000000002,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.15000000000000002,0.0,0.0,0.0,,1.0,X
0.65,0.15000000000000002,0.0,0.0,0.0,,1.0,MAX
0.65,0.15000000000000002,0.0,0.0,0.0,,1.0,ACC
0.65,0.15000000000000002,0.0,0.01,0.01,,0.99,CC
0.65,0.25000000000000006,0.0,0.0,0.0,,1.0,T50
0.65,0.25000000000000006,0.0,0.0,0.0,,1.0,MS2
0.65,0.25000000000000006,0.0,0.0,0.0,,1.0,SMM
0.65,0.25000000000000006,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.25000000000000006,0.0,0.0,0.0,,1.0,X
0.65,0.25000000000000006,0.0,0.0,0.0,,1.0,MAX
0.65,0.25000000000000006,0.0,0.0,0.0,,1.0,ACC
0.65,0.25000000000000006,0.0,0.068,0.07,,0.9319999999999999,CC
0.65,0.35000000000000003,0.0,0.0,0.0,,1.0,T50
0.65,0.35000000000000003,0.0,0.0,0.0,,1.0,MS2
0.65,0.35000000000000003,0.0,0.0,0.0,,1.0,SMM
0.65,0.35000000000000003,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.35000000000000003,0.0,0.0,0.0,,1.0,X
0.65,0.35000000000000003,0.0,0.0,0.0,,1.0,MAX
0.65,0.35000000000000003,0.0,0.0,0.0,,1.0,ACC
0.65,0.35000000000000003,0.0,0.154,0.15,,0.846,CC
0.65,0.45000000000000007,0.0,0.208,0.21,,0.7916666666666666,T50
0.65,0.45000000000000007,0.0,0.0,0.0,,1.0,MS2
0.65,0.45000000000000007,0.0,0.0,0.0,,1.0,SMM
0.65,0.45000000000000007,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.45000000000000007,0.0,0.0,0.0,,1.0,X
0.65,0.45000000000000007,0.0,0.0,0.0,,1.0,MAX
0.65,0.45000000000000007,0.0,0.0,0.0,,1.0,ACC
0.65,0.45000000000000007,0.0,0.238,0.24,,0.762,CC
0.65,0.5500000000000002,0.0,0.363,0.36,,0.636904761904762,T50
0.65,0.5500000000000002,0.0,0.0,0.0,,1.0,MS2
0.65,0.5500000000000002,0.0,0.0,0.0,,1.0,SMM
0.65,0.5500000000000002,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.5500000000000002,0.0,0.0,0.0,,1.0,X
0.65,0.5500000000000002,0.0,0.191,0.19,,0.8089887640449439,MAX
0.65,0.5500000000000002,0.0,0.0,0.0,,1.0,ACC
0.65,0.5500000000000002,0.0,0.262,0.26,,0.738,CC
0.65,0.6500000000000001,0.0,0.56,0.56,,0.44047619047619047,T50
0.65,0.6500000000000001,0.0,0.119,0.12,,0.8812500000000001,MS2
0.65,0.6500000000000001,0.0,0.13,0.13,,0.87,SMM
0.65,0.6500000000000001,0.0,0.02,0.02,topsoe,0.9798566281734686,DyS-TS
0.65,0.6500000000000001,0.0,0.081,0.08,,0.9187500000000001,X
0.65,0.6500000000000001,0.0,0.219,0.22,,0.7808988764044944,MAX
0.65,0.6500000000000001,0.0,0.031,0.03,,0.9687500000000001,ACC
0.65,0.6500000000000001,0.0,0.35,0.35,,0.65,CC
0.65,0.7500000000000002,0.0,0.655,0.66,,0.3452380952380951,T50
0.65,0.7500000000000002,0.0,0.181,0.18,,0.81875,MS2
0.65,0.7500000000000002,0.0,0.14,0.14,,0.86,SMM
0.65,0.7500000000000002,0.0,0.247,0.25,topsoe,0.7525423477761908,DyS-TS
0.65,0.7500000000000002,0.0,0.119,0.12,,0.8812500000000001,X
0.65,0.7500000000000002,0.0,0.534,0.53,,0.4662921348314607,MAX
0.65,0.7500000000000002,0.0,0.281,0.28,,0.7187500000000001,ACC
0.65,0.7500000000000002,0.0,0.396,0.4,,0.604,CC
0.65,0.8500000000000002,0.0,0.786,0.79,,0.2142857142857142,T50
0.65,0.8500000000000002,0.0,0.356,0.36,,0.64375,MS2
0.65,0.8500000000000002,0.0,0.32,0.32,,0.68,SMM
0.65,0.8500000000000002,0.0,0.355,0.36,topsoe,0.6448160672291597,DyS-TS
0.65,0.8500000000000002,0.0,0.275,0.28,,0.7250000000000001,X
0.65,0.8500000000000002,0.0,0.584,0.58,,0.4157303370786517,MAX
