qnt,batch_index,cdraw_p,ceight_p,celeven_p,cfifteen_p,cfive_p,cfour_p,cfourteen_p,cnine_p,cone_p,cseven_p,csix_p,csixteen_p,cten_p,cthirteen_p,cthree_p,ctwelve_p,ctwo_p,czero_p,cdraw_p_normalized,ceight_p_normalized,celeven_p_normalized,cfifteen_p_normalized,cfive_p_normalized,cfour_p_normalized,cfourteen_p_normalized,cnine_p_normalized,cone_p_normalized,cseven_p_normalized,csix_p_normalized,csixteen_p_normalized,cten_p_normalized,cthirteen_p_normalized,cthree_p_normalized,ctwelve_p_normalized,ctwo_p_normalized,czero_p_normalized,cdraw_real,ceight_real,celeven_real,cfifteen_real,cfive_real,cfour_real,cfourteen_real,cnine_real,cone_real,cseven_real,csix_real,csixteen_real,cten_real,cthirteen_real,cthree_real,ctwelve_real,ctwo_real,czero_real
CC,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
PCC,0,0.91,0.91,0.91,0.95,0.96,0.98,0.89,0.93,0.98,0.95,0.96,0.99,0.91,0.89,0.98,0.89,0.95,0.99,0.05,0.05,0.05,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.05,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
ACC,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
PACC,0,1.0,0.65,1.0,1.0,0.83,0.93,1.0,0.74,0.73,0.36,0.81,1.0,0.0,1.0,0.78,1.0,0.77,0.74,0.07,0.05,0.07,0.07,0.06,0.06,0.07,0.05,0.05,0.03,0.06,0.07,0.0,0.07,0.05,0.07,0.05,0.05,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
T50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
MAX,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
MS,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
MS2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
X,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
SMM,0,1.0,0.65,1.0,1.0,0.83,0.93,1.0,0.74,0.73,0.36,0.81,1.0,0.0,1.0,0.78,1.0,0.77,0.74,0.07,0.05,0.07,0.07,0.06,0.06,0.07,0.05,0.05,0.03,0.06,0.07,0.0,0.07,0.05,0.07,0.05,0.05,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
DyS,0,1.0,0.61,1.0,1.0,0.84,0.95,1.0,0.81,0.78,0.38,0.85,1.0,0.0,1.0,0.76,1.0,0.77,0.86,0.07,0.04,0.07,0.07,0.06,0.07,0.07,0.06,0.05,0.03,0.06,0.07,0.0,0.07,0.05,0.07,0.05,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
DySyn,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
HDy,0,1.0,0.67,1.0,1.0,0.85,0.96,1.0,0.87,0.8,0.4,0.87,1.0,0.16,1.0,0.8,1.0,0.82,0.83,0.07,0.04,0.07,0.07,0.06,0.06,0.07,0.06,0.05,0.03,0.06,0.07,0.01,0.07,0.05,0.07,0.05,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
ACC_syn,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
PACC_syn,0,0.91,0.91,0.91,0.95,0.96,0.98,0.89,0.93,0.98,0.95,0.96,0.99,0.91,0.89,0.98,0.89,0.95,0.99,0.05,0.05,0.05,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.05,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
X_syn,0,0.0,0.16,0.0,0.41,0.51,0.7,0.07,0.01,0.7,0.24,0.45,0.85,0.0,0.0,0.66,0.0,0.63,0.83,0.0,0.03,0.0,0.07,0.08,0.11,0.01,0.0,0.11,0.04,0.07,0.14,0.0,0.0,0.11,0.0,0.1,0.13,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
MAX_syn,0,0.0,0.16,0.0,0.41,0.51,0.7,0.07,0.01,0.7,0.24,0.45,0.85,0.0,0.0,0.66,0.0,0.63,0.83,0.0,0.03,0.0,0.07,0.08,0.11,0.01,0.0,0.11,0.04,0.07,0.14,0.0,0.0,0.11,0.0,0.1,0.13,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
T50_syn,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
MS_syn,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
MS2_syn,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
SMM_syn,0,1.0,1.0,0.99,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.98,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
HDy_syn,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
DyS_cdt,0,1.0,1.0,1.0,1.0,0.84,0.95,1.0,1.0,0.78,0.38,1.0,1.0,1.0,1.0,0.76,1.0,0.77,0.86,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.02,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
ACC_cdt,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
PACC_cdt,0,0.91,0.91,0.91,0.95,0.83,0.93,0.89,0.93,0.73,0.36,0.96,1.0,0.91,0.89,0.78,1.0,0.77,0.74,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.02,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
X_cdt,0,0.0,0.16,0.0,0.41,0.0,0.0,0.07,0.01,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.37,0.0,0.0,0.06,0.01,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
MAX_cdt,0,0.0,0.16,0.0,0.41,0.0,0.0,0.07,0.01,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.37,0.0,0.0,0.06,0.01,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
T50_cdt,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.0,0.0,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
MS_cdt,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
MS2_cdt,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
SMM_cdt,0,1.0,1.0,0.99,1.0,0.83,0.93,0.98,1.0,0.73,0.36,1.0,1.0,1.0,0.98,0.78,1.0,0.77,0.74,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.02,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
HDy_cdt,0,1.0,1.0,1.0,1.0,0.85,0.96,1.0,1.0,0.8,0.4,1.0,1.0,1.0,1.0,0.8,1.0,0.82,0.83,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.02,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
CC2,0,0.04,0.11,0.02,0.04,0.09,0.0,0.21,0.06,0.0,0.0,0.04,0.0,0.08,0.07,0.0,0.08,0.16,0.0,0.04,0.11,0.02,0.04,0.09,0.0,0.21,0.06,0.0,0.0,0.04,0.0,0.08,0.07,0.0,0.08,0.16,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
PWK,0,0.11,0.01,0.07,0.08,0.04,0.05,0.0,0.07,0.1,0.03,0.08,0.07,0.04,0.04,0.0,0.04,0.06,0.11,0.11,0.01,0.07,0.08,0.04,0.05,0.0,0.07,0.1,0.03,0.08,0.07,0.04,0.04,0.0,0.04,0.06,0.11,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
HDx,0,0.13,0.34,0.38,0.17,0.24,0.24,0.15,0.53,0.27,0.32,0.26,0.15,0.64,0.23,0.26,0.19,0.28,0.16,0.13,0.34,0.38,0.17,0.24,0.24,0.15,0.53,0.27,0.32,0.26,0.15,0.64,0.23,0.26,0.19,0.28,0.16,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
GAC,0,0.04,0.11,0.02,0.04,0.09,0.0,0.21,0.06,0.0,0.0,0.04,0.0,0.08,0.07,0.0,0.08,0.16,0.0,0.04,0.11,0.02,0.04,0.09,0.0,0.21,0.06,0.0,0.0,0.04,0.0,0.08,0.07,0.0,0.08,0.16,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
GPAC,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25,1.0,1.0,0.44,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25,1.0,1.0,0.44,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
FM,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
EMQ,0,0.05,0.0,0.07,0.14,0.0,0.0,0.0,0.08,0.11,0.1,0.06,0.0,0.1,0.0,0.0,0.04,0.09,0.15,0.05,0.0,0.07,0.14,0.0,0.0,0.0,0.08,0.11,0.1,0.06,0.0,0.1,0.0,0.0,0.04,0.09,0.15,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
KDEyHD,0,0.0,0.31,0.0,0.05,0.0,0.0,0.0,0.0,0.6,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.05,0.0,0.0,0.0,0.0,0.6,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
KDEyCS,0,0.0,0.03,0.0,0.02,0.0,0.06,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.0,0.06,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
KDEyML,0,0.0,0.3,0.0,0.04,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.04,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
CC,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
PCC,1,0.91,0.93,0.92,0.93,0.95,0.98,0.87,0.94,0.98,0.96,0.97,0.99,0.92,0.88,0.98,0.89,0.93,0.99,0.05,0.05,0.05,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.05,0.05,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
ACC,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
PACC,1,1.0,0.78,1.0,1.0,0.79,0.89,1.0,1.0,0.62,0.56,0.87,0.99,0.46,1.0,0.69,1.0,0.68,0.68,0.07,0.05,0.07,0.07,0.05,0.06,0.07,0.07,0.04,0.04,0.06,0.07,0.03,0.07,0.05,0.07,0.05,0.05,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
T50,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
MAX,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
MS,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
MS2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
X,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
SMM,1,1.0,0.78,1.0,1.0,0.79,0.89,1.0,1.0,0.62,0.56,0.87,0.99,0.46,1.0,0.69,1.0,0.68,0.68,0.07,0.05,0.07,0.07,0.05,0.06,0.07,0.07,0.04,0.04,0.06,0.07,0.03,0.07,0.05,0.07,0.05,0.05,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
DyS,1,0.82,0.8,1.0,1.0,0.82,0.9,1.0,1.0,0.62,0.57,0.92,0.98,0.26,1.0,0.65,1.0,0.7,0.86,0.05,0.05,0.07,0.07,0.05,0.06,0.07,0.07,0.04,0.04,0.06,0.07,0.02,0.07,0.04,0.07,0.05,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
DySyn,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
HDy,1,1.0,0.84,1.0,1.0,0.83,0.94,1.0,1.0,0.73,0.55,0.92,1.0,0.55,1.0,0.71,1.0,0.79,0.83,0.06,0.05,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.04,0.06,0.06,0.04,0.06,0.05,0.06,0.05,0.05,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
ACC_syn,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
PACC_syn,1,0.91,0.93,0.92,0.93,0.95,0.98,0.87,0.94,0.98,0.96,0.97,0.99,0.92,0.88,0.98,0.89,0.93,0.99,0.05,0.05,0.05,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.05,0.05,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
X_syn,1,0.0,0.2,0.0,0.27,0.52,0.7,0.01,0.0,0.66,0.26,0.45,0.88,0.0,0.0,0.66,0.0,0.59,0.83,0.0,0.03,0.0,0.04,0.09,0.12,0.0,0.0,0.11,0.04,0.07,0.15,0.0,0.0,0.11,0.0,0.1,0.14,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
MAX_syn,1,0.0,0.2,0.0,0.27,0.52,0.7,0.01,0.0,0.66,0.26,0.45,0.88,0.0,0.0,0.66,0.0,0.59,0.83,0.0,0.03,0.0,0.04,0.09,0.12,0.0,0.0,0.11,0.04,0.07,0.15,0.0,0.0,0.11,0.0,0.1,0.14,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
T50_syn,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.03,0.09,0.14,0.06,0.0,0.0,0.1,0.08,0.05,0.06,0.01,0.01,0.03,0.03,0.06,0.04,0.12
