qnt,batch_index,c1_p,c2_p,c3_p,c4_p,c5_p,c6_p,c7_p,c1_p_normalized,c2_p_normalized,c3_p_normalized,c4_p_normalized,c5_p_normalized,c6_p_normalized,c7_p_normalized,c1_real,c2_real,c3_real,c4_real,c5_real,c6_real,c7_real
CC,0,0.85,0.93,1.0,0.9,0.99,1.0,0.97,0.13,0.14,0.15,0.14,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
PCC,0,0.78,0.74,0.98,0.91,0.75,0.88,0.97,0.13,0.12,0.16,0.15,0.13,0.15,0.16,0.09,0.34,0.25,0.07,0.08,0.11,0.06
ACC,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
PACC,0,0.91,0.42,0.38,0.96,0.31,0.42,0.92,0.21,0.1,0.09,0.22,0.07,0.1,0.21,0.09,0.34,0.25,0.07,0.08,0.11,0.06
T50,0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MAX,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
X,0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
SMM,0,0.91,0.42,0.38,0.96,0.31,0.42,0.92,0.21,0.1,0.09,0.22,0.07,0.1,0.21,0.09,0.34,0.25,0.07,0.08,0.11,0.06
DyS,0,0.91,0.35,0.82,0.95,0.29,0.47,0.94,0.19,0.07,0.17,0.2,0.06,0.1,0.2,0.09,0.34,0.25,0.07,0.08,0.11,0.06
DySyn,0,0.9,1.0,1.0,0.95,1.0,1.0,1.0,0.13,0.15,0.15,0.14,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
HDy,0,0.95,0.39,0.94,0.98,0.3,0.49,0.96,0.19,0.08,0.19,0.2,0.06,0.1,0.19,0.09,0.34,0.25,0.07,0.08,0.11,0.06
ACC_syn,0,0.83,0.92,1.0,0.9,0.99,1.0,0.97,0.13,0.14,0.15,0.14,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
PACC_syn,0,0.76,0.71,0.98,0.91,0.72,0.88,0.97,0.13,0.12,0.17,0.15,0.12,0.15,0.16,0.09,0.34,0.25,0.07,0.08,0.11,0.06
X_syn,0,0.0,0.19,0.76,0.78,0.07,0.04,0.83,0.0,0.07,0.28,0.29,0.03,0.01,0.31,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MAX_syn,0,0.0,0.19,0.76,0.78,0.07,0.04,0.83,0.0,0.07,0.28,0.29,0.03,0.01,0.31,0.09,0.34,0.25,0.07,0.08,0.11,0.06
T50_syn,0,0.88,1.0,1.0,1.0,1.0,1.0,1.0,0.13,0.15,0.15,0.15,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS_syn,0,0.82,0.92,1.0,0.9,0.99,1.0,0.97,0.12,0.14,0.15,0.14,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS2_syn,0,0.8,0.9,1.0,0.9,0.98,1.0,0.96,0.12,0.14,0.15,0.14,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
SMM_syn,0,0.84,0.95,1.0,0.99,0.95,0.96,1.0,0.13,0.14,0.15,0.15,0.14,0.14,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
HDy_syn,0,0.92,1.0,0.99,0.94,1.0,1.0,0.99,0.13,0.15,0.14,0.14,0.15,0.15,0.14,0.09,0.34,0.25,0.07,0.08,0.11,0.06
DyS_cdt,0,0.91,0.35,0.82,0.95,0.29,0.47,0.94,0.19,0.07,0.17,0.2,0.06,0.1,0.2,0.09,0.34,0.25,0.07,0.08,0.11,0.06
ACC_cdt,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
PACC_cdt,0,0.91,0.42,0.38,0.96,0.31,0.42,0.92,0.21,0.1,0.09,0.22,0.07,0.1,0.21,0.09,0.34,0.25,0.07,0.08,0.11,0.06
X_cdt,0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MAX_cdt,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
T50_cdt,0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS_cdt,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS2_cdt,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
SMM_cdt,0,0.91,0.42,0.38,0.96,0.31,0.42,0.92,0.21,0.1,0.09,0.22,0.07,0.1,0.21,0.09,0.34,0.25,0.07,0.08,0.11,0.06
HDy_cdt,0,0.95,0.39,0.94,0.98,0.3,0.49,0.96,0.19,0.08,0.19,0.2,0.06,0.1,0.19,0.09,0.34,0.25,0.07,0.08,0.11,0.06
CC2,0,0.19,0.28,0.0,0.1,0.38,0.02,0.03,0.19,0.28,0.0,0.1,0.38,0.02,0.03,0.09,0.34,0.25,0.07,0.08,0.11,0.06
PWK,0,0.06,0.28,0.14,0.1,0.18,0.19,0.05,0.06,0.28,0.14,0.1,0.18,0.19,0.05,0.09,0.34,0.25,0.07,0.08,0.11,0.06
HDx,0,0.1,0.81,0.16,0.5,0.85,0.83,0.36,0.1,0.81,0.16,0.5,0.85,0.83,0.36,0.09,0.34,0.25,0.07,0.08,0.11,0.06
GAC,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
GPAC,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
FM,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
EMQ,0,0.07,0.29,0.31,0.05,0.08,0.16,0.05,0.07,0.29,0.31,0.05,0.08,0.16,0.05,0.09,0.34,0.25,0.07,0.08,0.11,0.06
KDEyHD,0,0.0,0.09,0.0,0.0,0.17,0.0,0.74,0.0,0.09,0.0,0.0,0.17,0.0,0.74,0.09,0.34,0.25,0.07,0.08,0.11,0.06
KDEyCS,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
KDEyML,0,0.0,0.17,0.0,0.0,0.29,0.0,0.54,0.0,0.17,0.0,0.0,0.29,0.0,0.54,0.09,0.34,0.25,0.07,0.08,0.11,0.06
CC,1,0.86,0.98,1.0,0.87,1.0,1.0,0.97,0.13,0.15,0.15,0.13,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
PCC,1,0.77,0.77,0.98,0.89,0.78,0.88,0.97,0.13,0.13,0.16,0.15,0.13,0.15,0.16,0.09,0.34,0.25,0.07,0.08,0.11,0.06
ACC,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
PACC,1,0.89,0.54,0.46,0.94,0.43,0.46,0.93,0.19,0.12,0.1,0.2,0.09,0.1,0.2,0.09,0.34,0.25,0.07,0.08,0.11,0.06
T50,1,0.07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MAX,1,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
X,1,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
SMM,1,0.89,0.54,0.46,0.94,0.43,0.46,0.93,0.19,0.12,0.1,0.2,0.09,0.1,0.2,0.09,0.34,0.25,0.07,0.08,0.11,0.06
DyS,1,0.89,0.48,0.85,0.92,0.36,0.52,0.97,0.18,0.1,0.17,0.18,0.07,0.1,0.19,0.09,0.34,0.25,0.07,0.08,0.11,0.06
DySyn,1,0.9,1.0,1.0,0.93,1.0,1.0,0.99,0.13,0.15,0.15,0.14,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
HDy,1,0.92,0.54,0.92,0.94,0.37,0.55,0.98,0.18,0.1,0.18,0.18,0.07,0.11,0.19,0.09,0.34,0.25,0.07,0.08,0.11,0.06
ACC_syn,1,0.86,0.98,1.0,0.87,1.0,1.0,0.97,0.13,0.15,0.15,0.13,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
PACC_syn,1,0.77,0.74,0.98,0.89,0.76,0.88,0.97,0.13,0.12,0.16,0.15,0.13,0.15,0.16,0.09,0.34,0.25,0.07,0.08,0.11,0.06
X_syn,1,0.0,0.2,0.82,0.8,0.08,0.08,0.82,0.0,0.07,0.29,0.29,0.03,0.03,0.29,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MAX_syn,1,0.0,0.2,0.82,0.8,0.08,0.08,0.82,0.0,0.07,0.29,0.29,0.03,0.03,0.29,0.09,0.34,0.25,0.07,0.08,0.11,0.06
T50_syn,1,0.86,1.0,1.0,1.0,1.0,1.0,1.0,0.13,0.15,0.15,0.15,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS_syn,1,0.77,0.98,1.0,0.87,1.0,1.0,0.97,0.12,0.15,0.15,0.13,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS2_syn,1,0.78,0.95,1.0,0.87,0.97,1.0,0.97,0.12,0.14,0.15,0.13,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
SMM_syn,1,0.83,1.0,1.0,0.97,1.0,0.98,1.0,0.12,0.15,0.15,0.14,0.15,0.14,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
HDy_syn,1,0.92,1.0,0.99,0.9,1.0,1.0,0.99,0.14,0.15,0.15,0.13,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
DyS_cdt,1,0.89,0.48,0.85,0.92,1.0,0.52,0.97,0.16,0.09,0.15,0.16,0.18,0.09,0.17,0.09,0.34,0.25,0.07,0.08,0.11,0.06
ACC_cdt,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
PACC_cdt,1,0.89,0.54,0.46,0.94,0.76,0.46,0.93,0.18,0.11,0.09,0.19,0.15,0.09,0.19,0.09,0.34,0.25,0.07,0.08,0.11,0.06
X_cdt,1,0.0,0.0,0.0,0.04,0.08,0.0,0.0,0.0,0.0,0.0,0.34,0.66,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MAX_cdt,1,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
T50_cdt,1,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.07,0.0,0.0,0.0,0.93,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS_cdt,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS2_cdt,1,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
SMM_cdt,1,0.89,0.54,0.46,0.94,1.0,0.46,0.93,0.17,0.1,0.09,0.18,0.19,0.09,0.18,0.09,0.34,0.25,0.07,0.08,0.11,0.06
HDy_cdt,1,0.92,0.54,0.92,0.94,1.0,0.55,0.98,0.16,0.09,0.16,0.16,0.17,0.09,0.17,0.09,0.34,0.25,0.07,0.08,0.11,0.06
CC2,1,0.22,0.29,0.0,0.13,0.31,0.02,0.03,0.22,0.29,0.0,0.13,0.31,0.02,0.03,0.09,0.34,0.25,0.07,0.08,0.11,0.06
PWK,1,0.13,0.2,0.15,0.12,0.21,0.15,0.04,0.13,0.2,0.15,0.12,0.21,0.15,0.04,0.09,0.34,0.25,0.07,0.08,0.11,0.06
HDx,1,0.1,0.8,0.16,0.49,0.84,0.83,0.38,0.1,0.8,0.16,0.49,0.84,0.83,0.38,0.09,0.34,0.25,0.07,0.08,0.11,0.06
GAC,1,1.0,0.0,1.0,0.0,0.3,1.0,1.0,1.0,0.0,1.0,0.0,0.3,1.0,1.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
GPAC,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
FM,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
EMQ,1,0.1,0.08,0.24,0.07,0.24,0.2,0.06,0.1,0.08,0.24,0.07,0.24,0.2,0.06,0.09,0.34,0.25,0.07,0.08,0.11,0.06
KDEyHD,1,0.0,0.0,0.0,0.0,0.57,0.0,0.43,0.0,0.0,0.0,0.0,0.57,0.0,0.43,0.09,0.34,0.25,0.07,0.08,0.11,0.06
KDEyCS,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
KDEyML,1,0.21,0.0,0.0,0.0,0.53,0.0,0.26,0.21,0.0,0.0,0.0,0.53,0.0,0.26,0.09,0.34,0.25,0.07,0.08,0.11,0.06
CC,2,0.85,0.94,1.0,0.85,0.99,1.0,0.99,0.13,0.14,0.15,0.13,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
PCC,2,0.78,0.73,0.98,0.88,0.77,0.89,0.97,0.13,0.12,0.16,0.15,0.13,0.15,0.16,0.09,0.34,0.25,0.07,0.08,0.11,0.06
ACC,2,0.0,0.0,1.0,0.02,0.0,1.0,0.0,0.0,0.0,0.5,0.01,0.0,0.5,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
PACC,2,0.91,0.37,0.55,0.92,0.39,0.51,0.93,0.2,0.08,0.12,0.2,0.09,0.11,0.2,0.09,0.34,0.25,0.07,0.08,0.11,0.06
T50,2,0.07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MAX,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
X,2,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
SMM,2,0.91,0.37,0.55,0.92,0.39,0.51,0.93,0.2,0.08,0.12,0.2,0.09,0.11,0.2,0.09,0.34,0.25,0.07,0.08,0.11,0.06
DyS,2,0.93,0.38,0.85,0.91,0.31,0.55,0.96,0.19,0.08,0.17,0.19,0.06,0.11,0.2,0.09,0.34,0.25,0.07,0.08,0.11,0.06
DySyn,2,0.91,1.0,1.0,0.89,1.0,1.0,1.0,0.13,0.15,0.15,0.13,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
HDy,2,0.97,0.45,0.93,0.95,0.34,0.57,0.98,0.19,0.09,0.18,0.18,0.07,0.11,0.19,0.09,0.34,0.25,0.07,0.08,0.11,0.06
ACC_syn,2,0.84,0.93,1.0,0.85,0.99,1.0,0.99,0.13,0.14,0.15,0.13,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
PACC_syn,2,0.75,0.69,0.98,0.88,0.75,0.89,0.97,0.13,0.12,0.17,0.15,0.13,0.15,0.16,0.09,0.34,0.25,0.07,0.08,0.11,0.06
X_syn,2,0.0,0.2,0.8,0.79,0.05,0.06,0.84,0.0,0.07,0.29,0.29,0.02,0.02,0.31,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MAX_syn,2,0.0,0.2,0.8,0.79,0.05,0.06,0.84,0.0,0.07,0.29,0.29,0.02,0.02,0.31,0.09,0.34,0.25,0.07,0.08,0.11,0.06
T50_syn,2,0.92,1.0,1.0,0.98,1.0,1.0,1.0,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS_syn,2,0.82,0.93,1.0,0.85,0.99,1.0,0.99,0.13,0.14,0.15,0.13,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS2_syn,2,0.82,0.84,1.0,0.85,0.99,1.0,0.98,0.13,0.13,0.15,0.13,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
SMM_syn,2,1.0,0.93,1.0,0.95,1.0,0.98,1.0,0.15,0.14,0.15,0.14,0.15,0.14,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
HDy_syn,2,0.95,1.0,0.99,0.87,1.0,1.0,0.99,0.14,0.15,0.15,0.13,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
DyS_cdt,2,0.93,0.38,0.85,0.91,0.31,0.55,0.96,0.19,0.08,0.17,0.19,0.06,0.11,0.2,0.09,0.34,0.25,0.07,0.08,0.11,0.06
ACC_cdt,2,0.0,0.0,1.0,0.02,0.0,1.0,0.0,0.0,0.0,0.5,0.01,0.0,0.5,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
PACC_cdt,2,0.91,0.37,0.55,0.92,0.39,0.51,0.93,0.2,0.08,0.12,0.2,0.09,0.11,0.2,0.09,0.34,0.25,0.07,0.08,0.11,0.06
X_cdt,2,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MAX_cdt,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
T50_cdt,2,0.07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS_cdt,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS2_cdt,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
SMM_cdt,2,0.91,0.37,0.55,0.92,0.39,0.51,0.93,0.2,0.08,0.12,0.2,0.09,0.11,0.2,0.09,0.34,0.25,0.07,0.08,0.11,0.06
HDy_cdt,2,0.97,0.45,0.93,0.95,0.34,0.57,0.98,0.19,0.09,0.18,0.18,0.07,0.11,0.19,0.09,0.34,0.25,0.07,0.08,0.11,0.06
CC2,2,0.16,0.35,0.0,0.14,0.31,0.03,0.01,0.16,0.35,0.0,0.14,0.31,0.03,0.01,0.09,0.34,0.25,0.07,0.08,0.11,0.06
PWK,2,0.09,0.21,0.13,0.13,0.22,0.16,0.06,0.09,0.21,0.13,0.13,0.22,0.16,0.06,0.09,0.34,0.25,0.07,0.08,0.11,0.06
HDx,2,0.11,0.8,0.16,0.46,0.83,0.8,0.35,0.11,0.8,0.16,0.46,0.83,0.8,0.35,0.09,0.34,0.25,0.07,0.08,0.11,0.06
GAC,2,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
GPAC,2,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
FM,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
EMQ,2,0.04,0.46,0.25,0.09,0.01,0.09,0.06,0.04,0.46,0.25,0.09,0.01,0.09,0.06,0.09,0.34,0.25,0.07,0.08,0.11,0.06
KDEyHD,2,0.0,0.01,0.0,0.06,0.28,0.0,0.65,0.0,0.01,0.0,0.06,0.28,0.0,0.65,0.09,0.34,0.25,0.07,0.08,0.11,0.06
KDEyCS,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
KDEyML,2,0.27,0.05,0.0,0.0,0.12,0.0,0.56,0.27,0.05,0.0,0.0,0.12,0.0,0.56,0.09,0.34,0.25,0.07,0.08,0.11,0.06
CC,3,0.86,0.93,1.0,0.88,1.0,1.0,0.98,0.13,0.14,0.15,0.13,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
PCC,3,0.77,0.74,0.98,0.9,0.76,0.88,0.97,0.13,0.12,0.16,0.15,0.13,0.15,0.16,0.09,0.34,0.25,0.07,0.08,0.11,0.06
ACC,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
PACC,3,0.89,0.43,0.37,0.96,0.35,0.43,0.94,0.2,0.1,0.08,0.22,0.08,0.1,0.22,0.09,0.34,0.25,0.07,0.08,0.11,0.06
T50,3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MAX,3,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
X,3,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
SMM,3,0.89,0.43,0.37,0.96,0.35,0.43,0.94,0.2,0.1,0.08,0.22,0.08,0.1,0.22,0.09,0.34,0.25,0.07,0.08,0.11,0.06
DyS,3,0.87,0.38,0.85,0.94,0.32,0.47,0.96,0.18,0.08,0.18,0.2,0.07,0.1,0.2,0.09,0.34,0.25,0.07,0.08,0.11,0.06
DySyn,3,0.87,1.0,1.0,0.94,1.0,1.0,1.0,0.13,0.15,0.15,0.14,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
HDy,3,0.91,0.43,0.93,0.97,0.31,0.52,0.98,0.18,0.08,0.18,0.19,0.06,0.1,0.19,0.09,0.34,0.25,0.07,0.08,0.11,0.06
ACC_syn,3,0.86,0.92,1.0,0.88,1.0,1.0,0.98,0.13,0.14,0.15,0.13,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
PACC_syn,3,0.77,0.71,0.98,0.9,0.73,0.88,0.97,0.13,0.12,0.16,0.15,0.12,0.15,0.16,0.09,0.34,0.25,0.07,0.08,0.11,0.06
X_syn,3,0.0,0.17,0.78,0.84,0.06,0.09,0.83,0.0,0.06,0.28,0.3,0.02,0.03,0.3,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MAX_syn,3,0.0,0.17,0.78,0.84,0.06,0.09,0.83,0.0,0.06,0.28,0.3,0.02,0.03,0.3,0.09,0.34,0.25,0.07,0.08,0.11,0.06
T50_syn,3,0.86,1.0,1.0,1.0,1.0,1.0,1.0,0.13,0.15,0.15,0.15,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS_syn,3,0.84,0.92,1.0,0.88,1.0,1.0,0.98,0.13,0.14,0.15,0.13,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
MS2_syn,3,0.84,0.89,1.0,0.88,0.95,1.0,0.98,0.13,0.14,0.15,0.13,0.14,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
SMM_syn,3,0.83,0.97,1.0,1.0,1.0,0.97,1.0,0.12,0.14,0.15,0.15,0.15,0.14,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
HDy_syn,3,0.89,1.0,0.99,0.89,1.0,1.0,0.99,0.13,0.15,0.15,0.13,0.15,0.15,0.15,0.09,0.34,0.25,0.07,0.08,0.11,0.06
DyS_cdt,3,0.87,0.38,0.85,0.94,1.0,0.47,0.96,0.16,0.07,0.16,0.17,0.18,0.09,0.18,0.09,0.34,0.25,0.07,0.08,0.11,0.06
ACC_cdt,3,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.0,0.09,0.34,0.25,0.07,0.08,0.11,0.06
PACC_cdt,3,0.89,0.43,0.37,0.96,0.73,0.43,0.94,0.19,0.09,0.08,0.2,0.15,0.09,0.2,0.09,0.34,0.25,0.07,0.08,0.11,0.06
